Cluster,Category_Bamboos,Category_Bromeliads,Category_Cacti & Succulents,Category_Climbers,Category_Creepers & Vines,Category_Ferns,Category_Flowering Pot Plants,Category_Fruit Plants,Category_Grasses & Grass like plants,Category_Groundcovers,Category_Indoor Plants,Category_Lilies & Bulbous plants,Category_Medicinal Plants,Category_Orchids,Category_Palms and Cycads,Category_Rose Climbers,Category_Rose Floribundas,Category_Rose Hybrid Teas,Category_Rose Miniatures,Category_Shrubs,Category_Spice plants & edible Herbs,Category_Terrific Tropicals  The Ideal Gifts,Category_Trees,Category_Vegetable,Category_Water & Aquatic Plants,Category_lawns,Light_Low light tolerant,Light_Semi shade,Light_Shade growing,Light_Sun growing,Water_Can tolerate less,Water_Can tolerate more,Water_Normal,Water_Requires less,Water_Requires more,Primary_Grown_for_Flowers,Primary_Grown_for_Foliage,Primary_Grown_for_Fruit or Seed,Primary_Grown_for_Roots or tubers,Primary_Grown_for_Stems or Timber,Flowering_Season_April,Flowering_Season_August,Flowering_Season_December,Flowering_Season_February,Flowering_Season_Flowers are inconspicuous,Flowering_Season_Flowers in flushes throughout the year,Flowering_Season_Flowers once in many years,Flowering_Season_January,Flowering_Season_July,Flowering_Season_June,Flowering_Season_March,Flowering_Season_May,Flowering_Season_Non Flowering,Flowering_Season_November,Flowering_Season_October,Flowering_Season_September,Flowering_Season_Year-around flowering,Foliage_Color_Blue,Foliage_Color_Blue Grey or Silver,Foliage_Color_Bronze or coppery,Foliage_Color_Brown,Foliage_Color_Cream or off white,Foliage_Color_Green,Foliage_Color_Orange,Foliage_Color_Pink,Foliage_Color_Purple,Foliage_Color_Red,Foliage_Color_Variegated,Foliage_Color_Very dark green almost black,Foliage_Color_White,Foliage_Color_Yellow,Height_or_Length_1 to 2 meters,Height_or_Length_2 to 4 meters,Height_or_Length_4 to 6 meters,Height_or_Length_50 cms to 100 cms,Height_or_Length_6 to 8 meters,Height_or_Length_8 to 12 meters,Height_or_Length_Less than 50 cms,Height_or_Length_More than 12 meters,Spread_or_Width_1 to 2 meters,Spread_or_Width_2 to 4 meters,Spread_or_Width_4 to 6 meters,Spread_or_Width_50 cms to 100 cms,Spread_or_Width_6 to 8 meters,Spread_or_Width_8 to 12 meters,Spread_or_Width_Less than 50 cms,Spread_or_Width_More than 12 meters,Plant_Form_Climbing or growing on support,Plant_Form_Columnar,Plant_Form_Irregular,Plant_Form_Low spreading,Plant_Form_Oval,Plant_Form_Pyramidal,Plant_Form_Spherical or rounded,Plant_Form_Spreading,Plant_Form_Upright or Erect,Plant_Form_Weeping
0,0.022727272727272728,0.0,0.5227272727272727,0.0,0.0,0.0,0.022727272727272728,0.0,0.022727272727272728,0.6818181818181818,0.36363636363636365,0.022727272727272728,0.045454545454545456,0.0,0.0,0.0,0.0,0.0,0.0,0.11363636363636363,0.045454545454545456,0.0,0.022727272727272728,0.045454545454545456,0.06818181818181818,0.0,0.09090909090909091,0.9090909090909091,0.20454545454545456,0.7272727272727273,0.1590909090909091,0.022727272727272728,0.5,0.45454545454545453,0.09090909090909091,0.022727272727272728,0.9318181818181818,0.0,0.045454545454545456,0.0,0.2727272727272727,0.045454545454545456,0.06818181818181818,0.09090909090909091,0.8636363636363636,0.022727272727272728,0.0,0.09090909090909091,0.022727272727272728,0.06818181818181818,0.29545454545454547,0.2727272727272727,0.0,0.06818181818181818,0.045454545454545456,0.06818181818181818,0.0,0.0,0.25,0.022727272727272728,0.045454545454545456,0.1590909090909091,0.7954545454545454,0.045454545454545456,0.11363636363636363,0.022727272727272728,0.20454545454545456,0.3409090909090909,0.022727272727272728,0.2727272727272727,0.06818181818181818,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.9772727272727273,0.0,0.0,0.045454545454545456,0.0,0.1590909090909091,0.022727272727272728,0.0,0.11363636363636363,0.6590909090909091,0.29545454545454547,0.0
1,0.058823529411764705,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.4411764705882353,0.3235294117647059,0.0,0.14705882352941177,0.0,0.0,0.0,0.0,0.0,0.0,0.9705882352941176,0.029411764705882353,0.0,0.17647058823529413,0.0,0.08823529411764706,0.0,0.0,1.0,0.3235294117647059,0.8823529411764706,0.6176470588235294,0.9705882352941176,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35294117647058826,0.9705882352941176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411764705882353,0.0,0.029411764705882353,0.029411764705882353,0.0,0.08823529411764706,0.9705882352941176,0.0,0.029411764705882353,0.029411764705882353,0.0,0.5294117647058824,0.0,0.29411764705882354,0.20588235294117646,0.35294117647058826,0.6176470588235294,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.8235294117647058,0.08823529411764706,0.0,0.08823529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.029411764705882353,0.7941176470588235,0.8529411764705882,0.0
2,0.009433962264150943,0.0,0.02830188679245283,0.0,0.0,0.0,0.41509433962264153,0.0,0.009433962264150943,0.8018867924528302,0.009433962264150943,0.018867924528301886,0.1320754716981132,0.009433962264150943,0.0,0.0,0.0,0.0,0.0,0.8113207547169812,0.0,0.0,0.009433962264150943,0.0,0.1320754716981132,0.0,0.0,0.9433962264150944,0.07547169811320754,0.9622641509433962,0.3584905660377358,0.4528301886792453,0.9716981132075472,0.009433962264150943,0.018867924528301886,0.9056603773584906,0.07547169811320754,0.02830188679245283,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.8679245283018868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03773584905660377,0.0,0.0,0.009433962264150943,0.9811320754716981,0.0,0.0,0.02830188679245283,0.02830188679245283,0.04716981132075472,0.0,0.02830188679245283,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.04716981132075472,0.009433962264150943,0.0,0.8584905660377359,0.0,0.0,0.07547169811320754,0.0,0.0,0.0,0.02830188679245283,0.009433962264150943,0.009433962264150943,0.0,0.1320754716981132,0.5283018867924528,0.6698113207547169,0.009433962264150943
3,0.0,0.0,0.0,1.0,1.0,0.0,0.028169014084507043,0.0,0.0,0.16901408450704225,0.0,0.0,0.056338028169014086,0.014084507042253521,0.0,0.0,0.0,0.0,0.0,0.39436619718309857,0.0,0.0,0.014084507042253521,0.056338028169014086,0.014084507042253521,0.0,0.0,0.9295774647887324,0.07042253521126761,0.971830985915493,0.19718309859154928,0.6901408450704225,0.9859154929577465,0.0,0.014084507042253521,0.8450704225352113,0.1267605633802817,0.04225352112676056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9859154929577465,0.0,0.014084507042253521,0.0,0.0,0.04225352112676056,1.0,0.0,0.0,0.014084507042253521,0.0,0.11267605633802817,0.0,0.07042253521126761,0.014084507042253521,0.04225352112676056,0.28169014084507044,0.15492957746478872,0.04225352112676056,0.2112676056338028,0.056338028169014086,0.028169014084507043,0.18309859154929578,0.07042253521126761,0.04225352112676056,0.0,0.0,0.028169014084507043,0.014084507042253521,0.0,0.0,0.9014084507042254,0.014084507042253521,0.028169014084507043,0.08450704225352113,0.0,0.0,0.0,0.028169014084507043,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.3898305084745763,0.0,0.1016949152542373,0.0,0.01694915254237288,0.0,0.0,0.0,0.0,0.8983050847457628,0.03389830508474576,0.0,1.0,0.0,0.03389830508474576,0.0,0.0,0.8983050847457628,0.4067796610169492,0.9661016949152542,0.6779661016949152,0.9322033898305084,0.9830508474576272,0.0,0.01694915254237288,0.0,0.9322033898305084,0.06779661016949153,0.0,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.01694915254237288,0.0,0.9322033898305084,0.03389830508474576,0.0,0.01694915254237288,0.0,0.0,0.01694915254237288,0.01694915254237288,0.0,0.03389830508474576,0.03389830508474576,0.03389830508474576,0.05084745762711865,0.01694915254237288,0.0847457627118644,0.0847457627118644,0.01694915254237288,0.03389830508474576,0.9661016949152542,0.0,0.01694915254237288,0.0,0.01694915254237288,0.15254237288135594,0.03389830508474576,0.05084745762711865,0.13559322033898305,0.03389830508474576,0.05084745762711865,0.1864406779661017,0.0,0.22033898305084745,0.1694915254237288,0.0,0.3389830508474576,0.11864406779661017,0.0,0.3898305084745763,0.05084745762711865,0.1864406779661017,0.11864406779661017,0.0,0.13559322033898305,0.0,0.06779661016949153,0.1694915254237288,0.0,0.0,0.03389830508474576,0.22033898305084745,0.3220338983050847,0.6101694915254238,0.1694915254237288
5,0.014492753623188406,0.014492753623188406,0.043478260869565216,0.0,0.0,0.0,0.014492753623188406,0.0,0.014492753623188406,0.11594202898550725,0.8405797101449275,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.8115942028985508,0.0,0.0,0.0,0.0,0.028985507246376812,0.0,0.08695652173913043,0.9855072463768116,0.43478260869565216,0.7391304347826086,0.2028985507246377,0.6521739130434783,0.927536231884058,0.0,0.07246376811594203,0.0,1.0,0.0,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,1.0,0.014492753623188406,0.014492753623188406,0.0,0.0,0.0,0.014492753623188406,0.014492753623188406,0.0,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.014492753623188406,0.0,0.0,0.028985507246376812,0.043478260869565216,0.17391304347826086,0.9420289855072463,0.028985507246376812,0.13043478260869565,0.08695652173913043,0.21739130434782608,0.5652173913043478,0.0,0.17391304347826086,0.2753623188405797,0.9420289855072463,0.0,0.0,0.057971014492753624,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.8695652173913043,0.0,0.0,0.11594202898550725,0.0,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216,0.0,0.043478260869565216,0.10144927536231885,0.9420289855072463,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7058823529411765,0.0,0.0,0.0,0.0,0.6470588235294118,0.0,0.1568627450980392,0.0,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.9803921568627451,0.11764705882352941,0.0,0.0,0.0,0.5490196078431373,0.0196078431372549,0.9803921568627451,0.7254901960784313,0.9019607843137255,1.0,0.0,0.0,0.058823529411764705,0.17647058823529413,0.7843137254901961,0.0,0.0196078431372549,0.0392156862745098,0.0,0.19607843137254902,0.6862745098039216,0.7058823529411765,0.21568627450980393,0.0196078431372549,0.6274509803921569,0.0392156862745098,0.0392156862745098,0.43137254901960786,0.0,0.0,0.1568627450980392,0.0196078431372549,0.0,0.19607843137254902,0.0,0.0196078431372549,0.0,0.0,0.0,1.0,0.0,0.0196078431372549,0.0,0.0196078431372549,0.0,0.0,0.0,0.0196078431372549,0.0,0.0,0.0392156862745098,0.0,0.0784313725490196,0.0392156862745098,0.0,0.8431372549019608,0.0,0.0392156862745098,0.09803921568627451,0.0,0.13725490196078433,0.21568627450980393,0.0,0.49019607843137253,0.0196078431372549,0.0196078431372549,0.0392156862745098,0.0,0.0392156862745098,0.0196078431372549,0.43137254901960786,0.3333333333333333,0.5294117647058824,0.0
7,0.031746031746031744,0.0,0.015873015873015872,0.0,0.0,0.0,0.07936507936507936,0.031746031746031744,0.031746031746031744,0.38095238095238093,0.09523809523809523,0.2698412698412698,0.23809523809523808,0.07936507936507936,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,0.015873015873015872,0.0,0.14285714285714285,0.031746031746031744,0.12698412698412698,0.0,0.0,0.9047619047619048,0.14285714285714285,0.8888888888888888,0.2857142857142857,0.7142857142857143,0.8888888888888888,0.0,0.1111111111111111,0.8571428571428571,0.12698412698412698,0.031746031746031744,0.0,0.0,0.8571428571428571,0.6507936507936508,0.0,0.15873015873015872,0.031746031746031744,0.015873015873015872,0.0,0.015873015873015872,0.8253968253968254,0.9206349206349206,0.6666666666666666,0.9206349206349206,0.0,0.031746031746031744,0.1111111111111111,0.3968253968253968,0.0,0.0,0.0,0.0,0.031746031746031744,0.015873015873015872,0.9841269841269841,0.0,0.0,0.015873015873015872,0.0,0.07936507936507936,0.0,0.047619047619047616,0.015873015873015872,0.3333333333333333,0.1746031746031746,0.0,0.30158730158730157,0.0,0.047619047619047616,0.1111111111111111,0.031746031746031744,0.4126984126984127,0.047619047619047616,0.015873015873015872,0.36507936507936506,0.015873015873015872,0.047619047619047616,0.09523809523809523,0.0,0.0,0.015873015873015872,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.6984126984126984,0.5873015873015873,0.0
8,0.18181818181818182,0.025974025974025976,0.03896103896103896,0.0,0.0,0.0,0.025974025974025976,0.025974025974025976,0.18181818181818182,0.6363636363636364,0.42857142857142855,0.025974025974025976,0.1038961038961039,0.0,0.012987012987012988,0.0,0.0,0.0,0.0,0.7012987012987013,0.05194805194805195,0.0,0.0,0.025974025974025976,0.12987012987012986,0.0,0.012987012987012988,0.987012987012987,0.3116883116883117,0.961038961038961,0.4025974025974026,0.7922077922077922,0.974025974025974,0.0,0.025974025974025976,0.012987012987012988,0.935064935064935,0.06493506493506493,0.012987012987012988,0.0,0.012987012987012988,0.03896103896103896,0.07792207792207792,0.09090909090909091,0.922077922077922,0.16883116883116883,0.0,0.07792207792207792,0.025974025974025976,0.025974025974025976,0.012987012987012988,0.0,0.0,0.03896103896103896,0.025974025974025976,0.025974025974025976,0.12987012987012986,0.0,0.05194805194805195,0.05194805194805195,0.03896103896103896,0.06493506493506493,0.8831168831168831,0.05194805194805195,0.06493506493506493,0.11688311688311688,0.1038961038961039,0.3246753246753247,0.03896103896103896,0.15584415584415584,0.18181818181818182,0.025974025974025976,0.0,0.0,0.948051948051948,0.0,0.0,0.025974025974025976,0.0,0.012987012987012988,0.0,0.012987012987012988,0.9090909090909091,0.012987012987012988,0.0,0.03896103896103896,0.0,0.012987012987012988,0.0,0.0,0.03896103896103896,0.025974025974025976,0.0,0.14285714285714285,0.7142857142857143,0.38961038961038963,0.03896103896103896
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031746031746031744,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.873015873015873,0.015873015873015872,0.0,1.0,0.015873015873015872,0.047619047619047616,0.0,0.0,0.9841269841269841,0.015873015873015872,1.0,0.9206349206349206,0.9682539682539683,1.0,0.0,0.0,0.9841269841269841,0.031746031746031744,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9682539682539683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.015873015873015872,0.0,0.0,0.031746031746031744,0.9682539682539683,0.0,0.0,0.0,0.0,0.031746031746031744,0.015873015873015872,0.015873015873015872,0.0,0.0,0.0,0.015873015873015872,0.0,0.8412698412698413,0.12698412698412698,0.0,0.015873015873015872,0.0,0.0,0.2222222222222222,0.0,0.7619047619047619,0.0,0.0,0.015873015873015872,0.0,0.015873015873015872,0.0,0.0,0.015873015873015872,0.0,0.031746031746031744,0.873015873015873,0.9682539682539683,0.047619047619047616
