Cluster,Category_Bamboos,Category_Bromeliads,Category_Cacti & Succulents,Category_Climbers,Category_Creepers & Vines,Category_Ferns,Category_Flowering Pot Plants,Category_Fruit Plants,Category_Grasses & Grass like plants,Category_Groundcovers_lawns,Category_Indoor Plants,Category_Lilies & Bulbous plants,Category_Medicinal Plants,Category_Orchids,Category_Palms and Cycads,Category_Rose_Hybrid_Climbers,Category_Rose_Miniature_Floribundas,Category_Shrubs,Category_Spice plants & edible Herbs,Category_Terrific Tropicals  The Ideal Gifts,Category_Trees,Category_Vegetable,Category_Water & Aquatic Plants,Flowering_Season_Apr_May_Summer,Flowering_Season_Dec_Jan_Winter,Flowering_Season_Feb_Mar_Spring,Flowering_Season_Flowers are inconspicuous,Flowering_Season_Flowers once in many years,Flowering_Season_Jun_Sep_Monsoon,Flowering_Season_Non Flowering,Flowering_Season_Oct_Nov_Autumn,Flowering_Season_Year_round_flowering,Foliage_Color_Blue,Foliage_Color_Blue Grey or Silver,Foliage_Color_Bronze or coppery,Foliage_Color_Brown,Foliage_Color_Cream or off white,Foliage_Color_Green,Foliage_Color_Orange,Foliage_Color_Pink,Foliage_Color_Purple,Foliage_Color_Red,Foliage_Color_Variegated,Foliage_Color_Very dark green almost black,Foliage_Color_White,Foliage_Color_Yellow,Height_or_Length_1 to 2 meters,Height_or_Length_2 to 4 meters,Height_or_Length_4 to 6 meters,Height_or_Length_50 cms to 100 cms,Height_or_Length_6 to 8 meters,Height_or_Length_8 to 12 meters,Height_or_Length_Less than 50 cms,Height_or_Length_More than 12 meters,Light_Low light tolerant,Light_Semi shade,Light_Shade growing,Light_Sun growing,Plant_Form_Climbing or growing on support,Plant_Form_Columnar,Plant_Form_Irregular,Plant_Form_Low spreading,Plant_Form_Oval,Plant_Form_Pyramidal,Plant_Form_Spherical or rounded,Plant_Form_Spreading,Plant_Form_Upright or Erect,Plant_Form_Weeping,Primary_Grown_for_Flowers,Primary_Grown_for_Foliage,Primary_Grown_for_Fruit or Seed,Primary_Grown_for_Roots or tubers,Primary_Grown_for_Stems or Timber,Spread_or_Width_1 to 2 meters,Spread_or_Width_2 to 4 meters,Spread_or_Width_4 to 6 meters,Spread_or_Width_6 to 8 meters,Spread_or_Width_8 to 12 meters,Spread_or_Width_More than 12 meters,Spread_or_Width_less_than_1_meter,Water_Can tolerate more,Water_Normal,Water_Requires more,Water_Requires_less
0,0.10810810810810811,0.013513513513513514,0.04054054054054054,0.0,0.0,0.0,0.0,0.013513513513513514,0.10810810810810811,0.24324324324324326,0.527027027027027,0.013513513513513514,0.04054054054054054,0.0,0.06756756756756757,0.0,0.0,0.8243243243243243,0.013513513513513514,0.0,0.04054054054054054,0.0,0.08108108108108109,0.06756756756756757,0.02702702702702703,0.08108108108108109,0.7837837837837838,0.04054054054054054,0.05405405405405406,0.0,0.02702702702702703,0.17567567567567569,0.0,0.04054054054054054,0.08108108108108109,0.05405405405405406,0.12162162162162163,0.972972972972973,0.04054054054054054,0.0945945945945946,0.04054054054054054,0.12162162162162163,0.5,0.0,0.1891891891891892,0.20270270270270271,0.9594594594594594,0.0,0.02702702702702703,0.0,0.013513513513513514,0.0,0.0,0.0,0.013513513513513514,0.9594594594594594,0.4189189189189189,0.7972972972972973,0.0,0.013513513513513514,0.05405405405405406,0.0,0.04054054054054054,0.013513513513513514,0.17567567567567569,0.6756756756756757,0.5945945945945946,0.013513513513513514,0.013513513513513514,0.972972972972973,0.013513513513513514,0.013513513513513514,0.0,0.9324324324324325,0.06756756756756757,0.0,0.0,0.0,0.0,0.0,0.7432432432432432,1.0,0.0,0.3918918918918919
1,0.0,0.02,0.0,0.0,0.0,0.0,0.84,0.0,0.0,0.86,0.06,0.04,0.0,0.0,0.0,0.0,0.0,0.14,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.04,0.08,0.02,0.0,0.96,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7,0.14,0.9,0.0,0.0,0.0,0.24,0.06,0.0,0.14,0.58,0.18,0.02,0.86,0.12,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.98,0.16,1.0,0.0,0.1
2,0.0,0.0,0.9642857142857143,0.0,0.0,0.0,1.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.0,0.0,0.0,0.03571428571428571,0.9642857142857143,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.03571428571428571,0.0,0.6785714285714286,0.0,0.0,0.2857142857142857,0.0,0.0,0.03571428571428571,0.0,0.0,1.0,0.03571428571428571,0.9642857142857143,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.03571428571428571,0.07142857142857142,0.8928571428571429,0.0,1.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.0,1.0,0.0,1.0
3,0.07547169811320754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07547169811320754,0.22641509433962265,0.5849056603773585,0.0,0.018867924528301886,0.0,0.09433962264150944,0.0,0.0,0.9622641509433962,0.0,0.0,0.3584905660377358,0.0,0.05660377358490566,0.05660377358490566,0.018867924528301886,0.03773584905660377,0.7924528301886793,0.03773584905660377,0.018867924528301886,0.0,0.0,0.37735849056603776,0.0,0.018867924528301886,0.018867924528301886,0.0,0.24528301886792453,0.9811320754716981,0.018867924528301886,0.03773584905660377,0.03773584905660377,0.018867924528301886,0.4339622641509434,0.0,0.16981132075471697,0.16981132075471697,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,1.0,0.5849056603773585,0.8679245283018868,0.0,0.0,0.1509433962264151,0.0,0.018867924528301886,0.0,0.03773584905660377,0.8113207547169812,0.8113207547169812,0.03773584905660377,0.0,1.0,0.0,0.0,0.0,0.6792452830188679,0.32075471698113206,0.0,0.0,0.0,0.0,0.0,0.9622641509433962,1.0,0.0,0.4339622641509434
4,0.014084507042253521,0.0,0.028169014084507043,0.028169014084507043,0.028169014084507043,0.0,0.0,0.028169014084507043,0.014084507042253521,0.07042253521126761,0.028169014084507043,0.07042253521126761,0.23943661971830985,0.0,0.0,0.0,0.0,0.9436619718309859,0.0,0.0,0.3380281690140845,0.028169014084507043,0.07042253521126761,0.7605633802816901,0.28169014084507044,0.6338028169014085,0.014084507042253521,0.0,0.7887323943661971,0.0,0.4788732394366197,0.08450704225352113,0.0,0.0,0.0,0.0,0.0,0.9859154929577465,0.0,0.0,0.014084507042253521,0.014084507042253521,0.014084507042253521,0.0,0.014084507042253521,0.0,0.19718309859154928,0.4507042253521127,0.2535211267605634,0.07042253521126761,0.028169014084507043,0.0,0.0,0.0,0.0,0.9014084507042254,0.08450704225352113,1.0,0.04225352112676056,0.0,0.2112676056338028,0.0,0.0,0.0,0.056338028169014086,0.6338028169014085,0.7323943661971831,0.014084507042253521,0.9577464788732394,0.0,0.04225352112676056,0.0,0.0,0.3380281690140845,0.4788732394366197,0.04225352112676056,0.014084507042253521,0.028169014084507043,0.0,0.08450704225352113,0.7605633802816901,0.971830985915493,0.028169014084507043,0.4647887323943662
5,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.08695652173913043,0.0,0.057971014492753624,0.0,0.2318840579710145,0.0,0.014492753623188406,0.0,0.0,0.08695652173913043,0.0,0.0,1.0,0.0,0.0,0.3333333333333333,0.2028985507246377,0.4492753623188406,0.34782608695652173,0.10144927536231885,0.2028985507246377,0.0,0.11594202898550725,0.07246376811594203,0.014492753623188406,0.028985507246376812,0.014492753623188406,0.014492753623188406,0.0,0.9565217391304348,0.0,0.0,0.0,0.014492753623188406,0.014492753623188406,0.028985507246376812,0.014492753623188406,0.028985507246376812,0.0,0.0,0.014492753623188406,0.0,0.0,0.0,0.0,0.9855072463768116,0.0,0.6086956521739131,0.0,1.0,0.0,0.043478260869565216,0.043478260869565216,0.0,0.014492753623188406,0.028985507246376812,0.028985507246376812,0.4927536231884058,0.8405797101449275,0.07246376811594203,0.014492753623188406,0.9565217391304348,0.0,0.0,0.057971014492753624,0.0,0.014492753623188406,0.014492753623188406,0.2028985507246377,0.2608695652173913,0.5072463768115942,0.0,0.6231884057971014,0.9420289855072463,0.014492753623188406,0.6086956521739131
6,0.013986013986013986,0.006993006993006993,0.006993006993006993,0.006993006993006993,0.006993006993006993,0.0,0.02097902097902098,0.006993006993006993,0.013986013986013986,0.13986013986013987,0.03496503496503497,0.006993006993006993,0.055944055944055944,0.0,0.006993006993006993,0.0,0.0,0.986013986013986,0.0,0.0,0.006993006993006993,0.0,0.006993006993006993,0.006993006993006993,0.006993006993006993,0.0,0.027972027972027972,0.006993006993006993,0.027972027972027972,0.0,0.02097902097902098,0.958041958041958,0.0,0.02097902097902098,0.006993006993006993,0.0,0.027972027972027972,0.9790209790209791,0.0,0.013986013986013986,0.0,0.013986013986013986,0.04895104895104895,0.0,0.027972027972027972,0.0,0.993006993006993,0.0,0.0,0.0,0.006993006993006993,0.0,0.0,0.0,0.0,0.972027972027972,0.04195804195804196,0.9790209790209791,0.0,0.0,0.055944055944055944,0.0,0.0,0.0,0.09090909090909091,0.8601398601398601,0.8181818181818182,0.02097902097902098,0.958041958041958,0.04195804195804196,0.02097902097902098,0.0,0.0,0.9790209790209791,0.013986013986013986,0.006993006993006993,0.0,0.0,0.0,0.0,0.7832167832167832,0.972027972027972,0.006993006993006993,0.8041958041958042
7,0.0125,0.0875,0.0,0.0,0.0,0.0,0.0625,0.0,0.0125,0.6375,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0625,0.025,0.0125,0.025,0.9375,0.0,0.05,0.0,0.0,0.1125,0.0,0.075,0.0625,0.0625,0.15,0.9375,0.025,0.175,0.05,0.1625,0.725,0.0,0.55,0.1875,0.0375,0.0,0.0,0.625,0.0,0.0,0.3375,0.0,0.2,1.0,0.9125,0.0875,0.0125,0.0,0.0,0.025,0.025,0.0,0.0125,0.7875,0.4625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0,0.0,0.0,0.9875,0.375,0.8875,0.1125,0.0
8,0.01680672268907563,0.0,0.008403361344537815,0.025210084033613446,0.025210084033613446,0.0,0.3865546218487395,0.0,0.01680672268907563,0.7983193277310925,0.03361344537815126,0.06722689075630252,0.1092436974789916,0.025210084033613446,0.0,0.0,0.0,0.7394957983193278,0.008403361344537815,0.0,0.008403361344537815,0.0,0.11764705882352941,0.025210084033613446,0.0,0.0,0.01680672268907563,0.0,0.04201680672268908,0.0,0.008403361344537815,0.9495798319327731,0.0,0.025210084033613446,0.0,0.0,0.008403361344537815,0.9831932773109243,0.0,0.0,0.04201680672268908,0.025210084033613446,0.04201680672268908,0.0,0.025210084033613446,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.008403361344537815,0.9243697478991597,0.14285714285714285,0.9159663865546218,0.0,0.0,0.01680672268907563,0.03361344537815126,0.008403361344537815,0.0,0.12605042016806722,0.5378151260504201,0.6470588235294118,0.008403361344537815,0.957983193277311,0.025210084033613446,0.025210084033613446,0.0,0.0,0.06722689075630252,0.0,0.0,0.0,0.0,0.0,0.9243697478991597,0.48739495798319327,0.9663865546218487,0.01680672268907563,0.37815126050420167
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174,0.0,0.0,0.0,0.0,0.5652173913043478,0.0,0.2608695652173913,0.0,0.0,0.0,0.0,0.0,1.0,0.043478260869565216,0.0,0.17391304347826086,0.13043478260869565,0.13043478260869565,0.4782608695652174,0.0,0.043478260869565216,0.0,0.0,0.5652173913043478,0.0,0.043478260869565216,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.9565217391304348,0.0,0.8695652173913043,0.0,0.9565217391304348,0.0,0.0,0.0,0.0,0.0,0.0,0.21739130434782608,0.43478260869565216,0.9130434782608695,0.0,0.043478260869565216,0.043478260869565216,0.9565217391304348,0.0,0.0,0.0,0.08695652173913043,0.043478260869565216,0.13043478260869565,0.4782608695652174,0.2608695652173913,0.0,0.9130434782608695,1.0,0.0,0.6086956521739131
