Cluster,Category_Bamboos,Category_Bromeliads,Category_Cacti & Succulents,Category_Climbers,Category_Creepers & Vines,Category_Ferns,Category_Flowering Pot Plants,Category_Fruit Plants,Category_Grasses & Grass like plants,Category_Groundcovers_lawns,Category_Indoor Plants,Category_Lilies & Bulbous plants,Category_Medicinal Plants,Category_Orchids,Category_Palms and Cycads,Category_Rose_Hybrid_Climbers,Category_Rose_Miniature_Floribundas,Category_Shrubs,Category_Spice plants & edible Herbs,Category_Terrific Tropicals  The Ideal Gifts,Category_Trees,Category_Vegetable,Category_Water & Aquatic Plants,Flowering_Season_Apr_May_Summer,Flowering_Season_Dec_Jan_Winter,Flowering_Season_Feb_Mar_Spring,Flowering_Season_Flowers are inconspicuous,Flowering_Season_Flowers once in many years,Flowering_Season_Jun_Sep_Monsoon,Flowering_Season_Non Flowering,Flowering_Season_Oct_Nov_Autumn,Flowering_Season_Year_round_flowering,Foliage_Color_Blue,Foliage_Color_Blue Grey or Silver,Foliage_Color_Bronze or coppery,Foliage_Color_Brown,Foliage_Color_Cream or off white,Foliage_Color_Green,Foliage_Color_Orange,Foliage_Color_Pink,Foliage_Color_Purple,Foliage_Color_Red,Foliage_Color_Variegated,Foliage_Color_Very dark green almost black,Foliage_Color_White,Foliage_Color_Yellow,Height_or_Length_1 to 2 meters,Height_or_Length_2 to 4 meters,Height_or_Length_4 to 6 meters,Height_or_Length_50 cms to 100 cms,Height_or_Length_6 to 8 meters,Height_or_Length_8 to 12 meters,Height_or_Length_Less than 50 cms,Height_or_Length_More than 12 meters,Light_Low light tolerant,Light_Semi shade,Light_Shade growing,Light_Sun growing,Plant_Form_Climbing or growing on support,Plant_Form_Columnar,Plant_Form_Irregular,Plant_Form_Low spreading,Plant_Form_Oval,Plant_Form_Pyramidal,Plant_Form_Spherical or rounded,Plant_Form_Spreading,Plant_Form_Upright or Erect,Plant_Form_Weeping,Primary_Grown_for_Flowers,Primary_Grown_for_Foliage,Primary_Grown_for_Fruit or Seed,Primary_Grown_for_Roots or tubers,Primary_Grown_for_Stems or Timber,Spread_or_Width_1 to 2 meters,Spread_or_Width_2 to 4 meters,Spread_or_Width_4 to 6 meters,Spread_or_Width_6 to 8 meters,Spread_or_Width_8 to 12 meters,Spread_or_Width_More than 12 meters,Spread_or_Width_less_than_1_meter,Water_Normal,Water_Requires_less,Water_Requires_more
0,0.11764705882352941,0.00980392156862745,0.0392156862745098,0.0,0.0,0.0,0.0,0.00980392156862745,0.11764705882352941,0.23529411764705882,0.6078431372549019,0.00980392156862745,0.0392156862745098,0.0,0.058823529411764705,0.0,0.0,0.8627450980392157,0.00980392156862745,0.0,0.10784313725490197,0.0,0.08823529411764706,0.049019607843137254,0.029411764705882353,0.058823529411764705,0.803921568627451,0.06862745098039216,0.049019607843137254,0.0,0.0196078431372549,0.28431372549019607,0.0,0.029411764705882353,0.06862745098039216,0.029411764705882353,0.20588235294117646,0.9803921568627451,0.029411764705882353,0.0784313725490196,0.0392156862745098,0.06862745098039216,0.5392156862745098,0.0,0.18627450980392157,0.22549019607843138,0.6078431372549019,0.35294117647058826,0.029411764705882353,0.0,0.00980392156862745,0.0,0.0,0.0,0.00980392156862745,0.9803921568627451,0.5,0.8137254901960784,0.0,0.00980392156862745,0.058823529411764705,0.0,0.029411764705882353,0.00980392156862745,0.13725490196078433,0.7647058823529411,0.6764705882352942,0.00980392156862745,0.00980392156862745,0.9803921568627451,0.00980392156862745,0.00980392156862745,0.0,0.9019607843137255,0.09803921568627451,0.0,0.0,0.0,0.0,0.0,1.0,0.4117647058823529,0.8921568627450981
1,0.011904761904761904,0.0,0.023809523809523808,0.0,0.0,0.0,0.5476190476190477,0.0,0.011904761904761904,0.9166666666666666,0.047619047619047616,0.047619047619047616,0.011904761904761904,0.0,0.0,0.0,0.0,0.16666666666666666,0.023809523809523808,0.0,0.0,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.03571428571428571,0.047619047619047616,0.011904761904761904,0.0,0.9642857142857143,0.0,0.0,0.0,0.0,0.011904761904761904,0.0,0.011904761904761904,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.09523809523809523,0.9404761904761905,0.0,0.0,0.0,0.4880952380952381,0.023809523809523808,0.0,0.07142857142857142,0.42857142857142855,0.14285714285714285,0.011904761904761904,0.9047619047619048,0.10714285714285714,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.011904761904761904,0.9523809523809523,0.9404761904761905,0.40476190476190477,0.14285714285714285
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082,0.0,0.11475409836065574,0.0,0.0,0.0,0.0,0.9016393442622951,0.01639344262295082,0.0,1.0,0.01639344262295082,0.03278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.01639344262295082,0.0,0.0,0.03278688524590164,0.9672131147540983,0.0,0.0,0.0,0.0,0.03278688524590164,0.01639344262295082,0.01639344262295082,0.0,0.0,0.0,0.01639344262295082,0.0,0.8852459016393442,0.09836065573770492,0.0,0.0,0.0,1.0,0.01639344262295082,1.0,0.0,0.01639344262295082,0.0,0.0,0.01639344262295082,0.0,0.03278688524590164,0.8852459016393442,0.9672131147540983,0.03278688524590164,0.9672131147540983,0.04918032786885246,0.01639344262295082,0.0,0.0,0.0,0.0,0.21311475409836064,0.7868852459016393,0.0,0.0,0.0,1.0,0.9016393442622951,0.9672131147540983
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9130434782608695,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.9565217391304348,0.9565217391304348,0.0,0.0,0.08695652173913043,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,1.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216,0.0,0.9130434782608695,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,1.0,0.043478260869565216,1.0,0.0,0.0,0.043478260869565216,0.0,0.0,0.0,0.9565217391304348,0.043478260869565216,0.0,0.0,1.0,0.043478260869565216,0.0,0.0,0.0,0.9565217391304348,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,1.0,1.0,0.9565217391304348
4,0.02564102564102564,0.0,0.23076923076923078,0.0,0.0,0.0,0.02564102564102564,0.0,0.02564102564102564,0.07692307692307693,0.05128205128205128,0.0,0.02564102564102564,0.0,0.1794871794871795,0.0,0.0,0.717948717948718,0.0,0.0,0.28205128205128205,0.0,0.0,0.07692307692307693,0.0,0.05128205128205128,0.8461538461538461,0.1282051282051282,0.05128205128205128,0.02564102564102564,0.0,0.02564102564102564,0.0,0.1794871794871795,0.05128205128205128,0.10256410256410256,0.05128205128205128,0.7948717948717948,0.02564102564102564,0.1282051282051282,0.05128205128205128,0.2564102564102564,0.15384615384615385,0.0,0.05128205128205128,0.05128205128205128,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.2564102564102564,1.0,0.0,0.0,0.28205128205128205,0.0,0.23076923076923078,0.0,0.10256410256410256,0.1794871794871795,0.5897435897435898,0.02564102564102564,0.0,1.0,0.0,0.0,0.0,0.8205128205128205,0.10256410256410256,0.0,0.0,0.02564102564102564,0.0,0.05128205128205128,0.9487179487179487,0.717948717948718,0.10256410256410256
5,0.033707865168539325,0.0898876404494382,0.033707865168539325,0.0,0.0,0.0,0.056179775280898875,0.0,0.033707865168539325,0.6853932584269663,0.9438202247191011,0.011235955056179775,0.011235955056179775,0.0,0.0,0.0,0.0,0.0898876404494382,0.0,0.0,0.0,0.0,0.033707865168539325,0.033707865168539325,0.02247191011235955,0.033707865168539325,0.9325842696629213,0.0,0.056179775280898875,0.0,0.011235955056179775,0.15730337078651685,0.0,0.07865168539325842,0.06741573033707865,0.06741573033707865,0.20224719101123595,0.9101123595505618,0.0449438202247191,0.21348314606741572,0.0449438202247191,0.1797752808988764,0.7640449438202247,0.0,0.5617977528089888,0.16853932584269662,0.011235955056179775,0.0,0.0,0.5955056179775281,0.0,0.0,0.39325842696629215,0.0,0.19101123595505617,1.0,0.9213483146067416,0.1348314606741573,0.011235955056179775,0.0,0.0,0.06741573033707865,0.02247191011235955,0.0,0.0449438202247191,0.7528089887640449,0.3707865168539326,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.898876404494382,0.0898876404494382,0.4157303370786517
6,0.01818181818181818,0.0,0.01818181818181818,0.8909090909090909,0.8909090909090909,0.01818181818181818,0.0,0.03636363636363636,0.01818181818181818,0.6545454545454545,0.7818181818181819,0.0,0.07272727272727272,0.0,0.01818181818181818,0.0,0.0,0.12727272727272726,0.03636363636363636,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.9636363636363636,0.01818181818181818,0.0,0.01818181818181818,0.0,0.09090909090909091,0.0,0.05454545454545454,0.01818181818181818,0.05454545454545454,0.10909090909090909,0.9636363636363636,0.0,0.09090909090909091,0.05454545454545454,0.03636363636363636,0.34545454545454546,0.0,0.2,0.14545454545454545,0.09090909090909091,0.509090909090909,0.03636363636363636,0.03636363636363636,0.07272727272727272,0.07272727272727272,0.01818181818181818,0.16363636363636364,0.05454545454545454,0.9818181818181818,0.8545454545454545,0.38181818181818183,0.9636363636363636,0.0,0.0,0.03636363636363636,0.0,0.0,0.0,0.01818181818181818,0.03636363636363636,0.0,0.0,1.0,0.0,0.0,0.0,0.01818181818181818,0.03636363636363636,0.0,0.0,0.0,0.0,0.03636363636363636,0.9818181818181818,0.16363636363636364,0.8909090909090909
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642857142857143,0.0,0.0,0.017857142857142856,0.0,0.42857142857142855,0.0,0.16071428571428573,0.0,0.0,0.14285714285714285,0.017857142857142856,0.0,0.9107142857142857,0.08928571428571429,0.0,0.125,0.125,0.25,0.26785714285714285,0.017857142857142856,0.07142857142857142,0.0,0.017857142857142856,0.6785714285714286,0.0,0.0,0.0,0.017857142857142856,0.03571428571428571,1.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.05357142857142857,0.03571428571428571,0.07142857142857142,0.23214285714285715,0.0,0.375,0.07142857142857142,0.0,0.21428571428571427,0.0,0.5892857142857143,0.017857142857142856,0.9285714285714286,0.0,0.0,0.08928571428571429,0.0,0.0,0.0,0.14285714285714285,0.3392857142857143,0.875,0.03571428571428571,0.0,0.017857142857142856,1.0,0.0,0.0,0.017857142857142856,0.30357142857142855,0.4107142857142857,0.03571428571428571,0.14285714285714285,0.05357142857142857,0.017857142857142856,0.9821428571428571,0.3392857142857143,0.6964285714285714
8,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.4714285714285714,0.0,0.02857142857142857,0.6857142857142857,0.05714285714285714,0.02857142857142857,0.1,0.05714285714285714,0.0,0.0,0.0,0.6428571428571429,0.014285714285714285,0.0,0.014285714285714285,0.02857142857142857,0.18571428571428572,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,1.0,0.0,0.04285714285714286,0.0,0.0,0.014285714285714285,0.9857142857142858,0.0,0.0,0.05714285714285714,0.04285714285714286,0.04285714285714286,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.02857142857142857,0.9428571428571428,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.02857142857142857,0.38571428571428573,0.9571428571428572,0.0,0.9142857142857143,0.02857142857142857,0.05714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9857142857142858,0.9285714285714286,0.04285714285714286,0.4
9,0.0,0.0,0.022727272727272728,0.9772727272727273,0.9772727272727273,0.0,0.022727272727272728,0.022727272727272728,0.0,0.045454545454545456,0.0,0.022727272727272728,0.11363636363636363,0.0,0.0,0.0,0.0,0.22727272727272727,0.045454545454545456,0.022727272727272728,0.0,0.0,0.0,0.6590909090909091,0.20454545454545456,0.6818181818181818,0.045454545454545456,0.0,0.5909090909090909,0.0,0.3181818181818182,0.06818181818181818,0.0,0.022727272727272728,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.022727272727272728,0.09090909090909091,0.0,0.06818181818181818,0.0,0.045454545454545456,0.11363636363636363,0.1590909090909091,0.0,0.3181818181818182,0.11363636363636363,0.0,0.25,0.0,0.9090909090909091,0.11363636363636363,0.9772727272727273,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.20454545454545456,0.06818181818181818,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022727272727272728,1.0,0.3409090909090909,0.7954545454545454
