,Plant_Id,Scientific_Name,Common_Name,Regional_Name,Category,Family,Light,Water,Primary_Grown_for,Flowering_Season,Foliage_Color,Height_or_Length,Spread_or_Width,Plant_Form,Lifespan,Special_Feature,Plant_Description,Growing_Tips,clean_info
0,1,Epiphyllum oxypetalum,"Queen Of The Night, Dutchmans-pipe Cactus",Marathi - Brahma Kamal,cacti succulents shrubs indoor plants,rhipsalidopsis,"Sun growing, Semi shade","Normal, Can tolerate less",Flowers,may june july august september,green,1 to 2 meters,1 to 2 meters,irregular upright erect,,fragrant flowers leaves auspicious feng shui plant good cut foliage grow trellis chain link fencing suitable road median planting hanging weeping growth habit,origin mexico brazil large flat thin waxy green branches night blooming cactus 5 inch star shaped flower white intense fragrance vanilla fragrance branches grow 3 feet long must homes sight reckon bloom,bright indirect sunlight direct sunlight suitable sand gravel peat moss sphagnum moss potting mix good growth avoid use alkaline water salty borewell water skip feeding winter months likes bone meal fertilizer rich phosphorus grows well hanging baskets,"Epiphyllum oxypetalum Queen Of The Night, Dutchmans-pipe Cactus cacti succulents shrubs indoor plants rhipsalidopsis Sun growing, Semi shade Normal, Can tolerate less Flowers may june july august septembergreen 1 to 2 meters 1 to 2 meters irregular upright erect  fragrant flowers leaves auspicious feng shui plant good cut foliage grow trellis chain link fencing suitable road median planting hanging weeping growth habit bright indirect sunlight direct sunlight suitable sand gravel peat moss sphagnum moss potting mix good growth avoid use alkaline water salty borewell water skip feeding winter months likes bone meal fertilizer rich phosphorus grows well hanging baskets"
1,2,Euphorbia grandicornis,Cow Horn Euphorbia,,cacti succulents shrubs,euphorbiaceae poinsettia family,"Sun growing, Semi shade","Normal, Can tolerate less",Foliage,september october november flowers inconspicuous,green,1 to 2 meters,50 cms to 100 cms,upright erect,,animals not eat thorny spiny,nationafrica asia shrub grow3 feet tall branches rise constricted segments gnarledtwisted bristling spines 2 inch long,full sun min 4 hours sunlight sand potting mix suitable planting pots well ground excellent use live fence border,"Euphorbia grandicornis Cow Horn Euphorbia cacti succulents shrubs euphorbiaceae poinsettia family Sun growing, Semi shade Normal, Can tolerate less Foliage september october november flowers inconspicuousgreen 1 to 2 meters 50 cms to 100 cms upright erect  animals not eat thorny spiny full sun min 4 hours sunlight sand potting mix suitable planting pots well ground excellent use live fence border"
2,4,Euphorbia milli thai hybrid,Crown Of Thorns New Hybrids,,cacti succulents shrubs flowering pot plants,euphorbiaceae poinsettia family,"Sun growing, Semi shade","Normal, Can tolerate less",Flowers,yeararound flowering flowers flushes throughout year,green,1 to 2 meters,50 cms to 100 cms,upright erect,,auspicious feng shui plant good hedges borders good edges ie small hedge border animals not eat thorny spiny poisonous eaten suitable road median planting good seaside grows best humid warm regions,page dedicated particular variety varieties seperately mentioned later hubdreds described thai good luck plant one hardiest plants landscape flowers almost throughout year amazing ordinary plant changed years breeding work plants lush green leaves flower color see not petals sepals like ixoras poinsettias bougainvilleas makes flowers long lasting,full diffused sunlight best minimum 3 4 hours direct sunlight adequate grow plants well drained potting mix open contain good amounts sand organic matter water plants potting mix becomes dry plants not branch well especially low light not cut tips reduce height case side shoot already growing cut main shoot balanced liquid fertilizer occasional application 12 tea spoon every month bone meal good plant planting pots recommended however also planted raised beds ensure good drainage,"Euphorbia milli thai hybrid Crown Of Thorns New Hybrids cacti succulents shrubs flowering pot plants euphorbiaceae poinsettia family Sun growing, Semi shade Normal, Can tolerate less Flowers yeararound flowering flowers flushes throughout yeargreen 1 to 2 meters 50 cms to 100 cms upright erect  auspicious feng shui plant good hedges borders good edges ie small hedge border animals not eat thorny spiny poisonous eaten suitable road median planting good seaside grows best humid warm regions full diffused sunlight best minimum 3 4 hours direct sunlight adequate grow plants well drained potting mix open contain good amounts sand organic matter water plants potting mix becomes dry plants not branch well especially low light not cut tips reduce height case side shoot already growing cut main shoot balanced liquid fertilizer occasional application 12 tea spoon every month bone meal good plant planting pots recommended however also planted raised beds ensure good drainage"
3,5,Euphorbia milli speciosa rubra,Crown Of Thorns - Red,,cacti succulents flowering pot plants shrubs,euphorbiaceae poinsettia family,"Sun growing, Semi shade","Normal, Can tolerate less",Flowers,yeararound flowering flowers flushes throughout year,green,50 cms to 100 cms,50 cms to 100 cms,spreading,,good hedges borders good edges ie small hedge border animals not eat thorny spiny poisonous eaten suitable road median planting good seaside grows best humid warm regions,small flowered type euphorbia milli plants short fully covered flowers grows best full sun final height plant around 60 cms red cream yellow flowered types available variety dwarf red flowers,full diffused sunlight best minimum 3 4 hours direct sunlight adequate grow plants well drained potting mix open contain good amounts sand organic matter water plants potting mix becomes dry balanced liquid fertilizer occasional application 12 tea spoon every month bone meal good plant planting pots recommended however also planted raised beds ensure good drainage,"Euphorbia milli speciosa rubra Crown Of Thorns - Red cacti succulents flowering pot plants shrubs euphorbiaceae poinsettia family Sun growing, Semi shade Normal, Can tolerate less Flowers yeararound flowering flowers flushes throughout yeargreen 50 cms to 100 cms 50 cms to 100 cms spreading  good hedges borders good edges ie small hedge border animals not eat thorny spiny poisonous eaten suitable road median planting good seaside grows best humid warm regions full diffused sunlight best minimum 3 4 hours direct sunlight adequate grow plants well drained potting mix open contain good amounts sand organic matter water plants potting mix becomes dry balanced liquid fertilizer occasional application 12 tea spoon every month bone meal good plant planting pots recommended however also planted raised beds ensure good drainage"
4,7,Euphorbia milli thai hybrid orange,Euphorbia Milli Thai Hyb Orange,,cacti succulents shrubs flowering pot plants,euphorbiaceae poinsettia family,"Sun growing, Semi shade","Normal, Can tolerate less",Flowers,yeararound flowering flowers flushes throughout year,green,1 to 2 meters,50 cms to 100 cms,upright erect,,auspicious feng shui plant good hedges borders good edges ie small hedge border animals not eat thorny spiny poisonous eaten good seaside grows best humid warm regions,extremely large flowered plants thai good luck plant one hardiest plants landscape variety dwarf large orange flowers amazing ordinary plant changed years breeding work plants lush green leaves flower color see not petals sepals like ixoras poinsettias bougainvilleas makes flowers long lasting plants considered lucky south east asian countries,full diffused sunlight best minimum 3 4 hours direct sunlight adequate grow plants well drained potting mix open contain good amounts sand organic matter water plants potting mix becomes dry plants not branch well especially low light not cut tips reduce height case side shoot already growing cut main shoot balanced liquid fertilizer occasional application 12 tea spoon every month bone meal good plant planting pots recommended however also planted raised beds ensure good drainage,"Euphorbia milli thai hybrid orange Euphorbia Milli Thai Hyb Orange cacti succulents shrubs flowering pot plants euphorbiaceae poinsettia family Sun growing, Semi shade Normal, Can tolerate less Flowers yeararound flowering flowers flushes throughout yeargreen 1 to 2 meters 50 cms to 100 cms upright erect  auspicious feng shui plant good hedges borders good edges ie small hedge border animals not eat thorny spiny poisonous eaten good seaside grows best humid warm regions full diffused sunlight best minimum 3 4 hours direct sunlight adequate grow plants well drained potting mix open contain good amounts sand organic matter water plants potting mix becomes dry plants not branch well especially low light not cut tips reduce height case side shoot already growing cut main shoot balanced liquid fertilizer occasional application 12 tea spoon every month bone meal good plant planting pots recommended however also planted raised beds ensure good drainage"
5,8,Rosa hakun,Rose Hakun,"Marathi - Gulab, Bengali - Golap, Hindi - Gulab, Punjabi - Gulab, Kannada - Gulabi, Tamil - Troja, Telugu - Roja",rose floribundas,rosaceae apple family,Sun growing,Normal,Flowers,yeararound flowering flowers flushes throughout year,green,50 cms to 100 cms,50 cms to 100 cms,spreading upright erect,,fragrant flowers leaves plant puja prayer flower leaves attracts birds attracts butterflies attracts bees thorny spiny grows best cooler regions,delightful cream coloured floribunda bears flowers huge trusses flowers fragrant ideal mass colour year medium growing plant good bedding floribunda apricot bushy dark green leaves clusters white colouredroses around 30 50 flowers lasting shape used hedges borders mass plantation,grows around 2 high 2 wide best among roses disease resistance point view resistant pests,Rosa hakun Rose Hakun rose floribundas rosaceae apple family Sun growing Normal Flowers yeararound flowering flowers flushes throughout yeargreen 50 cms to 100 cms 50 cms to 100 cms spreading upright erect  fragrant flowers leaves plant puja prayer flower leaves attracts birds attracts butterflies attracts bees thorny spiny grows best cooler regions grows around 2 high 2 wide best among roses disease resistance point view resistant pests
6,9,Rosa summer wind,Rose Summer Wind,"Marathi - Gulab, Bengali - Golap, Hindi - Gulab, Punjabi - Gulab, Kannada - Gulabi, Tamil - Troja, Telugu - Roja",rose floribundas,rosaceae apple family,Sun growing,Normal,Flowers,yeararound flowering flowers flushes throughout year,green,50 cms to 100 cms,50 cms to 100 cms,spreading,,plant puja prayer flower leaves attracts birds attracts butterflies attracts bees thorny spiny grows best cooler regions,delicate baby pink fragile looking flowers borne hundreds must large gardens plants hardy free blooming excellent planting beds,growing details please refer article growing roses given,Rosa summer wind Rose Summer Wind rose floribundas rosaceae apple family Sun growing Normal Flowers yeararound flowering flowers flushes throughout yeargreen 50 cms to 100 cms 50 cms to 100 cms spreading  plant puja prayer flower leaves attracts birds attracts butterflies attracts bees thorny spiny grows best cooler regions growing details please refer article growing roses given
7,10,Rosa carol jean,Rose Carol Jean,"Marathi - Gulab, Bengali - Golap, Hindi - Gulab, Punjabi - Gulab, Kannada - Gulabi, Tamil - Troja, Telugu - Roja",rose miniatures,rosaceae apple family,Sun growing,Normal,Flowers,yeararound flowering flowers flushes throughout year,green,50 cms to 100 cms,50 cms to 100 cms,spreading,,plant puja prayer flower leaves attracts birds attracts butterflies attracts bees thorny spiny grows best cooler regions,short free blooming miniature rose lovely pink flowers bright glowing plants compact ideal small gardens,growing details please refer article growing roses given,Rosa carol jean Rose Carol Jean rose miniatures rosaceae apple family Sun growing Normal Flowers yeararound flowering flowers flushes throughout yeargreen 50 cms to 100 cms 50 cms to 100 cms spreading  plant puja prayer flower leaves attracts birds attracts butterflies attracts bees thorny spiny grows best cooler regions growing details please refer article growing roses given
8,11,Rosa sweet n pink,Rose Sweet N Pink,"Marathi - Gulab, Bengali - Golap, Hindi - Gulab, Punjabi - Gulab, Kannada - Gulabi, Tamil - Troja, Telugu - Roja",rose miniatures,rosaceae apple family,Sun growing,Normal,Flowers,yeararound flowering flowers flushes throughout year,green,50 cms to 100 cms,50 cms to 100 cms,low spreading,,plant puja prayer flower leaves attracts birds attracts butterflies attracts bees thorny spiny grows best cooler regions,large flowered variety miniature flowers exquisitely shaped petals looks like made china clay flowers long lasting used well flower arrangements,growing details please refer article growing roses given,Rosa sweet n pink Rose Sweet N Pink rose miniatures rosaceae apple family Sun growing Normal Flowers yeararound flowering flowers flushes throughout yeargreen 50 cms to 100 cms 50 cms to 100 cms low spreading  plant puja prayer flower leaves attracts birds attracts butterflies attracts bees thorny spiny grows best cooler regions growing details please refer article growing roses given
9,12,Datura metel florepleno,Horn Of Plenty,Marathi - Datura,shrubs medicinal plants,solanaceae potato family,"Sun growing, Semi shade",Normal,Flowers,yeararound flowering flowers flushes throughout year,green purple,50 cms to 100 cms,50 cms to 100 cms,upright erect,,indigenous native india good topiary attracts bees poisonous eaten suitable road median planting,unique cousin common datura flowers held upright semidouble sometimes single beautiful shade purpleblue plants best full sunlight grow height around one trimmed kept shape,plants easy grow vigerous quick growing grow around one meter tall plants may die years growth seeds collected planted get new plants,"Datura metel florepleno Horn Of Plenty shrubs medicinal plants solanaceae potato family Sun growing, Semi shade Normal Flowers yeararound flowering flowers flushes throughout yeargreen purple 50 cms to 100 cms 50 cms to 100 cms upright erect  indigenous native india good topiary attracts bees poisonous eaten suitable road median planting plants easy grow vigerous quick growing grow around one meter tall plants may die years growth seeds collected planted get new plants"
