,Plant_Id,Scientific_Name,Family,Family_Hindi_Name),Species_Name,Common_Name,Habit,Habitat,Comments,Flower_Fruit,Distribution,Key_Feature
0,1,Abelia chinensis,CAPRIFOLIACEAE(Honeysuckle Family),RASHINA FAMILY,Linnaea chinensis (R.Br.) A.Braun & Vatke,,,Cultivated,,,Sikkim,"An upright-rounded, multi-stemmed, deciduous shrub of the honeysuckle family that typically grows on arching branches to 5-8’ tall and to 3-5’ wide. This is an outstanding flowering shrub whose main claim to fame is a lengthy early summer to fall bloom of very fragrant tubular white flowers with showy soft pink bracts. Flowers may be the most fragrant found on any species of Abelia. This shrub is native to lower alpine areas up to about 6000’ in elevation in southeastern China. Branchlets are covered with soft reddish wooly hairs when young. Mature branches are grayish brown. Toothed ovate leaves (to 1 1/2” long) are sparsely hairy above. White flowers (each to 1/2” long) bloom in axillary and terminal clusters at the stem ends. Weight of the flowers often causes the stem ends to dip, thus giving the shrub a somewhat weeping appearance during peak bloom season. As the flowers finish bloom, the sepals turn from green to a showy rosy mauve and persist on the shrub with retention of that color until November. From a distance, the shrub appears to be in bloom well into fall even though the flowers are long gone. This shrub is well-known for being attractive to butterflies (adults butterflies seek flower nectar and caterpillars feed on the foliage)."
1,2,Abelia triflora,CAPRIFOLIACEAE(Honeysuckle Family),RASHINA FAMILY,Zabelia triflora (R.Br. ex Wall.) Makino,Himalayan Abelia,Shrub,On dry rocky ground in Himalayas; 1500 - 4200 m. altitude,,May-June,Uttarakhand,
2,3,Abelmoschus angulosus,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Abelmoschus angulosus Wall. ex Wight & Arn.,,Undershrub,"Tropical moist deciduous forests, Tropical semi-evergreen forests, Shola","An extremely variable species with regard to shape of leaves, color of corolla & indumentum.",Throughout the year,"Karnataka, Kerala, Maharashtra, Tamil Nadu",
3,4,Abelmoschus angulosus,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Abelmoschus angulosus Wall. ex Wight & Arn.,,Undershrub,"Tropical moist deciduous forests, Tropical evergreen forests",,August-December,Kerala,
4,5,Abelmoschus angulosus,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Abelmoschus angulosus Wall. ex Wight & Arn.,,Undershrub,"Grasslands, Shola",,October-December,Kerala,
5,6,Abelmoschus crinitus,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Abelmoschus crinitus Wall.,,Herb,"Tropical dry deciduous forests, Scrub, wastelands",An extremely variable species with great degree of variation of incission of leaves & density of Indumentum.,July-January,"Andhra Pradesh, Karnataka, Kerala, Maharashtra, Odisha, Uttarakhand, Sikkim, Himachal Pradesh, Arunachal Pradesh, Meghalaya, Assam, Nagaland, Jammu and Kashmir, Mizoram, Manipur, Tripura",
6,7,Abelmoschus  enbeepeegearensis,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),"Abelmoschus enbeepeegearensis K.J.John, Scariah, Nissar, K.V.Bhat & S.R.Yadav",,Shrub,Rocky crevices in hill slopes,"The taxon was characterised by an asymmetrical, spathaceous, irregularly lobed calyx which fall off as a unit along with the corolla at the very next day after anthesis.",August-November,Kerala,"Flowers are 6 – 9 cm across, capsules are ovate-elongate in shape, epicalyx is 2.0 – 3.5 cm in length and pubescent with glandular hairs. Anthers are creamy yellow in colour. Colour of the stigma is maroon and whitish secreations are present on plant body."
7,8,Abelmoschus esculentus,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Abelmoschus esculentus (L.) Moench,"Lady's finger, Gumbo, Okra",Undershrub,Deciduous forests,Cultivated for its edible fruits,Throughout the year,"Andhra Pradesh, Karnataka, Kerala, Maharashtra, Odisha, Tamil Nadu",
8,9,Abelmoschus ficulneus,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Abelmoschus ficulneus (L.) Wight & Arn.,,Undershrub,Scrub forests,"Abundant in plains, arable lands, fallow fields and tank bunds.",September-March,"Karnataka, Maharashtra, Odisha, Tamil Nadu, Uttarakhand, Himachal Pradesh, Meghalaya, Nagaland, Jammu and Kashmir, Mizoram, Manipur, Tripura","Flowers are cream, open by 9 am and fade to purple by noon. Fruits bulky."
9,10,Abelmoschus manihot,MALVACEAE(Mallow Or Hibiscus Family),GURHAL FAMILY (गुड़हल फैमिली),Abelmoschus manihot (L.) Medik.,Edible Hibiscus,Undershrub or shrub,"Tropical moist deciduous forests, road sides, wasteland, Shady hill slopes",Occasional on hilly slopes. Cultivated as vegetable mainly in Southeast Asia.,September-February,"Karnataka, Kerala, Maharashtra, Odisha, Tamil Nadu, Uttarakhand, Sikkim, Himachal Pradesh, Arunachal Pradesh, Meghalaya, Assam, Nagaland, Jammu and Kashmir, Mizoram, Manipur, Tripura",
