Plant_Id,Scientific_name,Plant_Name_Mapped,Plant_Use,Kingdom,Family,Group,Common_Name,Synonymous_names,System_of_medicine
8,Abelmoschus esculentus,Abelmoschus esculentus,"[['None', 'Urination disorders'], ['None', 'Antipruritics'], ['None', 'Aphrodisiacs'], ['None', 'Appetite stimulants'], ['None', 'Asthenia'], ['None', 'Common cold'], ['None', 'Demulcents'], ['None', 'Diarrhea'], ['None', 'Anemia'], ['None', 'Diuretics'], ['None', 'Dysuria'], ['None', 'Disorder of ejaculation'], ['None', 'Emollients'], ['None', 'Gonorrhea'], ['None', 'Hematologic diseases'], ['None', 'Urethral discharge'], ['None', 'Dysentery'], ['None', 'Analgesics'], ['None', 'Abdominal pain'], ['seed', 'General tonic for rejuvenation'], ['fruit', 'Common cold'], ['fruit', 'Demulcents'], ['fruit', 'Diarrhea'], ['fruit', 'Diet, food, and nutrition'], ['fruit', 'Digestive system diseases'], ['fruit', 'Diuretics'], ['fruit', 'Dysentery'], ['fruit', 'Emollients'], ['fruit', 'Exanthema'], ['fruit', 'Fever'], ['fruit', 'Gonorrhea'], ['fruit', 'Sexually transmitted diseases'], ['plant exudate', 'Hypoglycemic agents'], ['seed', 'Antifungal agents'], ['seed', 'Antineoplastic agents'], ['seed', 'Bites and stings'], ['seed', 'Parasympatholytics'], ['fruit', 'Aphrodisiacs'], ['fruit', 'Antineoplastic agents']]",Plantae,Malvaceae,Angiosperms,Ladies Finger,"Hibiscus esculentus, Abelmoschus esculentus","Ayurveda, Siddha, Unani"
9,Abelmoschus ficulneus,Abelmoschus ficulneus,"[['root', 'Wounds and injuries'], ['seed', 'Asthma'], ['None', 'Wound healing']]",Plantae,Malvaceae,Angiosperms,White Wild Musk Mallow,"Hibiscus ficulneus, Abelmoschus ficulneus","Ayurveda, Siddha"
10,Abelmoschus manihot,Abelmoschus manihot,"[['root', 'Wounds and injuries'], ['root', 'Tuberculosis'], ['root', 'Sprains and strains'], ['root', 'Pneumonia'], ['root', 'Furunculosis'], ['root', 'Hypoglycemic agents'], ['root', 'Dysentery'], ['leaf', 'Wounds and injuries'], ['leaf', 'Sprains and strains'], ['leaf', 'Furunculosis'], ['flower', 'Toothache'], ['flower', 'Bronchitis'], ['bark', 'Menstruation-inducing agents'], ['root', 'Liver failure'], ['plant exudate', 'Hypoglycemic agents']]",Plantae,Malvaceae,Angiosperms,Sweet Hibiscus,"Hibiscus manihot, Abelmoschus manihot",
13,Abelmoschus moschatus,Abelmoschus moschatus,"[['leaf', 'Eye diseases'], ['None', 'Asthenia'], ['None', 'Asthma'], ['None', 'Bronchitis'], ['None', 'Calculi'], ['None', 'Cardiotonic agents'], ['None', 'Antipruritics'], ['leaf', 'Tooth diseases'], ['leaf', 'Sexually transmitted diseases'], ['leaf', 'Relaxation'], ['leaf', 'Headache'], ['leaf', 'Furunculosis'], ['leaf', 'Fever'], ['plant exudate', 'Urinary bladder diseases'], ['None', 'Appetite stimulants'], ['fruit', 'Hair loss'], ['leaf', 'Antirheumatic agents'], ['leaf', 'Astringents'], ['leaf', 'Cough'], ['leaf', 'Cystitis'], ['leaf', 'Disorder of ejaculation'], ['leaf', 'Gonorrhea'], ['None', 'Aphrodisiacs'], ['seed', 'Cooling effect on body'], ['leaf', 'Varicose veins'], ['None', 'Nausea'], ['None', 'Insecticides'], ['None', 'Diuretics'], ['None', 'Hysteria'], ['seed', 'Parasympatholytics'], ['None', 'Halitosis'], ['None', 'Nervous system diseases'], ['None', 'Hair diseases'], ['None', 'Gonorrhea'], ['None', 'Flatulence'], ['None', 'Eye diseases'], ['None', 'Disorder of ejaculation'], ['None', 'Hoarseness'], ['seed', 'Nervous system diseases'], ['None', 'Graves ophthalmopathy'], ['plant exudate', 'Hypoglycemic agents'], ['None', 'Pain'], ['None', 'Pectoralis muscles'], ['seed', 'Stomach neoplasms'], ['seed', 'Snake bites'], ['seed', 'Skin diseases'], ['seed', 'General tonic for rejuvenation'], ['seed', 'Pruritus'], ['seed', 'Pharyngitis'], ['None', 'Parasympatholytics'], ['None', 'Cough'], ['None', 'Diarrhea'], ['None', 'Heart diseases'], ['None', 'Dyspepsia'], ['None', 'Scabies'], ['None', 'General tonic for rejuvenation'], ['None', 'Dry throat'], ['plant exudate', 'Aphrodisiacs'], ['plant exudate', 'Immunomodulation'], ['None', 'Sialorrhea'], ['None', 'Thirst'], ['None', 'Urination disorders'], ['None', 'Vomiting'], ['seed', 'Aphrodisiacs'], ['seed', 'Anthelmintics'], ['root', 'Varicose veins'], ['root', 'Sexually transmitted diseases'], ['root', 'Relaxation'], ['root', 'Headache'], ['seed', 'Appetite stimulants'], ['root', 'Gonorrhea'], ['root', 'Fever'], ['root', 'Cystitis'], ['root', 'Astringents'], ['root', 'Antirheumatic agents'], ['plant exudate', 'Urination disorders'], ['seed', 'Asthma'], ['root', 'Furunculosis'], ['seed', 'Common cold'], ['seed', 'Bites and stings'], ['seed', 'Insecticides'], ['seed', 'Influenza, human'], ['seed', 'Hysteria'], ['seed', 'Flatulence'], ['seed', 'Diuretics'], ['seed', 'Demulcents'], ['seed', 'Miliaria']]",Plantae,Malvaceae,Angiosperms,Pink Swamp Mallow,"Hibiscus abelmoschus, Abelmoschus moschatus, Abelmoschus moschatu","Ayurveda, Siddha, Unani"
16,Abroma augusta,Abroma augusta,"[['root', 'Uterine diseases'], ['root', 'Amenorrhea'], ['root', 'Dysmenorrhea'], ['root', 'Menstruation-inducing agents']]",Plantae,Malvaceae,Angiosperms,Devil's Cotton,Abroma augusta,"Ayurveda, Siddha, Unani"
18,Abrus precatorius,Abrus precatorius,"[['None', 'General tonic for rejuvenation'], ['None', 'Paralysis'], ['None', 'Pain'], ['None', 'Night blindness'], ['None', 'Headache'], ['None', 'Muscle strength'], ['None', 'Mouth diseases'], ['None', 'Leprosy'], ['None', 'Intestinal diseases, parasitic'], ['None', 'Histamine antagonists'], ['None', 'Nervous system diseases'], ['None', 'Sciatica'], ['None', 'Thirst'], ['None', 'Sprains and strains'], ['fruit', 'Tuberculosis, lymph node'], ['leaf', 'Skin diseases'], ['leaf', 'Stomatitis'], ['leaf', 'Emetics'], ['leaf', 'Thirst'], ['leaf', 'Toothache'], ['leaf', 'Tuberculosis, lymph node'], ['leaf', 'Urination disorders'], ['leaf', 'Vitiligo'], ['leaf', 'Vomiting'], ['root', 'Abortifacient agents'], ['None', 'Gingivitis'], ['None', 'Mucus in urine'], ['None', 'Ulcer'], ['None', 'Skin diseases'], ['None', 'Fractures, bone'], ['None', 'Eye diseases'], ['leaf', 'General tonic for rejuvenation'], ['seed', 'Irritant'], ['seed', 'Wounds and injuries'], ['seed', 'Vitiligo'], ['seed', 'Uterine diseases'], ['seed', 'Uterine contraction'], ['seed', 'Ulcer'], ['whole plant', 'Antineoplastic agents'], ['seed', 'Tuberculosis, lymph node'], ['seed', 'Stomatitis'], ['seed', 'Skin diseases'], ['seed', 'Sciatica'], ['seed', 'Schistosoma'], ['seed', 'General tonic for rejuvenation'], ['seed', 'Prostatic neoplasms'], ['seed', 'Thirst'], ['whole plant', 'Gonorrhea'], ['None', 'Abortifacient agents'], ['None', 'Hair loss'], ['None', 'Emetics'], ['None', 'Dizziness'], ['None', 'Disinfectants'], ['None', 'Diarrhea'], ['None', 'Cough'], ['None', 'Contraceptives, oral'], ['None', 'Cathartics'], ['None', 'Apnea'], ['None', 'Aphrodisiacs'], ['None', 'Antipruritics'], ['None', 'Antiparasitic agents'], ['None', 'Antineoplastic agents'], ['None', 'Anti-infective agents, local'], ['None', 'Anticonvulsants'], ['None', 'Anthelmintics'], ['None', 'Fever'], ['leaf', 'Pruritus'], ['leaf', 'Inflammation'], ['leaf', 'Menorrhagia'], ['root', 'Jaundice'], ['root', 'Inflammation'], ['root', 'Infection'], ['root', 'Headache'], ['root', 'Gonorrhea'], ['root', 'Fever'], ['root', 'Eye infections'], ['root', 'Epilepsy'], ['root', 'Endophthalmitis'], ['root', 'Dysentery'], ['root', 'Diuretics'], ['seed', 'Hair loss'], ['seed', 'Analgesics'], ['seed', 'Anthelmintics'], ['root', 'Dental caries'], ['seed', 'Insecticides'], ['seed', 'Paralysis'], ['seed', 'Common cold'], ['seed', 'Contraceptive agents'], ['seed', 'Cough'], ['seed', 'Diarrhea'], ['seed', 'Dysentery'], ['root', 'Leprosy'], ['seed', 'Eczema'], ['seed', 'Fever'], ['seed', 'Fractures, bone'], ['seed', 'Graves ophthalmopathy'], ['seed', 'Hemagglutination'], ['seed', 'Hepatitis'], ['seed', 'Hypotension'], ['seed', 'Emetics'], ['leaf', 'Pain'], ['root', 'Mouth diseases'], ['root', 'Pharyngitis'], ['leaf', 'Jaundice'], ['seed', 'Anti-poisoning'], ['leaf', 'Infection'], ['leaf', 'Hypnotics and sedatives'], ['leaf', 'Hoarseness'], ['leaf', 'Hepatitis'], ['leaf', 'Headache'], ['leaf', 'Gonorrhea'], ['leaf', 'Fever'], ['leaf', 'Stomach diseases'], ['root', 'Colic'], ['root', 'Emetics'], ['root', 'Puerperal disorders'], ['root', 'General tonic for rejuvenation'], ['root', 'Snake bites'], ['root', 'Stomatitis'], ['root', 'Syphilis'], ['root', 'Thirst'], ['root', 'Pain'], ['root', 'Tuberculosis, lymph node'], ['root', 'Whooping cough'], ['seed', 'Abortifacient agents'], ['seed', 'Acne vulgaris'], ['seed', 'Acquired immunodeficiency syndrome'], ['seed', 'Nervous system diseases'], ['root', 'Urination disorders'], ['seed', 'Parasympatholytics'], ['seed', 'Cholinergic antagonists'], ['leaf', 'Endophthalmitis'], ['leaf', 'Edema'], ['leaf', 'Diuretics'], ['leaf', 'Diabetes mellitus'], ['root', 'Astringents'], ['root', 'Asthma'], ['root', 'Aphrodisiacs'], ['root', 'Antirheumatic agents'], ['root', 'Hair loss'], ['root', 'Biliary tract diseases'], ['leaf', 'Dental caries'], ['leaf', 'Common cold'], ['fruit', 'Nootropic agents'], ['fruit', 'Fever'], ['fruit', 'Eye diseases'], ['fruit', 'Dental caries'], ['fruit', 'Asthma'], ['fruit', 'Aphrodisiacs'], ['fruit', 'Pruritus'], ['fruit', 'Antitoxins'], ['root', 'Chest pain'], ['bark', 'Menstruation'], ['leaf', 'Cough'], ['fruit', 'General tonic for rejuvenation'], ['fruit', 'Stomatitis'], ['leaf', 'Colic'], ['leaf', 'Chest pain'], ['leaf', 'Biliary tract diseases'], ['leaf', 'Astringents'], ['leaf', 'Asthma'], ['leaf', 'Antirheumatic agents'], ['fruit', 'Skin diseases'], ['leaf', 'Acquired immunodeficiency syndrome'], ['fruit', 'Wounds and injuries'], ['fruit', 'Vomiting'], ['fruit', 'Vitiligo'], ['fruit', 'Thirst'], ['fruit', 'Taste disorders'], ['fruit', 'Disorder of head'], ['root', 'Common cold'], ['seed', 'Cathartics'], ['seed', 'Cardiotonic agents'], ['seed', 'Breast neoplasms'], ['seed', 'Astringents'], ['seed', 'Asthma'], ['seed', 'Central nervous system depressants'], ['seed', 'Arthralgia'], ['seed', 'Aphrodisiacs'], ['seed', 'Antispermatogenic agents'], ['seed', 'Antineoplastic agents'], ['seed', 'Anti-inflammatory agents'], ['seed', 'Anti-infective agents'], ['seed', 'Apnea'], ['seed', 'Antifungal agents'], ['seed', 'Cholera'], ['seed', 'Anti-bacterial agents'], ['root', 'Cough'], ['root', 'Contraceptive agents']]",Plantae,Leguminosae,Angiosperms,Rosary Pea,"Abrus precatorius, Abrus precatorious, Abies precatorius","Ayurveda, Homeopathy, Siddha, Sowa Rigpa, Unani"
25,Abutilon hirtum,Abutilon hirtum,"[['fruit', 'Anti-bacterial agents'], ['bark', 'Anthelmintics'], ['bark', 'Antipyretics'], ['bark', 'Astringents'], ['bark', 'Diuretics'], ['bark', 'Infection'], ['flower', 'Anti-bacterial agents'], ['leaf', 'Demulcents'], ['root', 'Menstruation'], ['leaf', 'Low back pain'], ['leaf', 'Toothache'], ['root', 'Fever'], ['seed', 'Bronchitis'], ['seed', 'Demulcents'], ['seed', 'Gonorrhea'], ['None', 'Nervous system diseases'], ['leaf', 'Hemorrhoids'], ['seed', 'Laxatives'], ['seed', 'Hemorrhoids']]",Plantae,Malvaceae,Angiosperms,Hairy Indian Mallow,"Abutilon graveolens, Abutilon hirtum",Ayurveda
26,Abutilon indicum,Abutilon indicum,"[['leaf', 'Diuretics'], ['bark', 'Anti-inflammatory agents'], ['bark', 'Anthelmintics'], ['flower', 'Analgesics'], ['leaf', 'Demulcents'], ['whole plant', 'Hemorrhoids'], ['root', 'Paralysis'], ['root', 'Pain'], ['root', 'Nervous system diseases'], ['root', 'Leprosy'], ['bark', 'Antipyretics'], ['leaf', 'Emollients'], ['bark', 'Astringents'], ['bark', 'Ulcer'], ['bark', 'Demulcents'], ['bark', 'Diuretics'], ['bark', 'Enema'], ['bark', 'Fever'], ['bark', 'Infection'], ['bark', 'Low back pain'], ['bark', 'Renal colic'], ['root', 'Hemorrhoids'], ['bark', 'Urinary bladder diseases'], ['flower', 'Antipyretics'], ['leaf', 'Cystitis'], ['flower', 'Arthritis'], ['bark', 'Candidiasis, vulvovaginal'], ['root', 'Hemorrhage'], ['root', 'Anti-bacterial agents'], ['root', 'Gout'], ['flower', 'Hemorrhoids'], ['leaf', 'Diarrhea'], ['leaf', 'Jaundice'], ['leaf', 'Urinary bladder calculi'], ['leaf', 'Ulcer'], ['leaf', 'Toothache'], ['leaf', 'General tonic for rejuvenation'], ['leaf', 'Periodontal diseases'], ['leaf', 'Pain'], ['leaf', 'Inflammation'], ['root', 'General tonic for rejuvenation'], ['leaf', 'Hemorrhoids'], ['root', 'Hematuria'], ['leaf', 'Headache'], ['leaf', 'Furunculosis'], ['leaf', 'Fever'], ['leaf', 'Eye drops'], ['leaf', 'Wounds and injuries'], ['flower', 'Bronchitis'], ['root', 'Antipyretics'], ['root', 'Antirheumatic agents'], ['root', 'Cough'], ['root', 'Demulcents'], ['root', 'Diuretics'], ['root', 'Eye diseases'], ['root', 'Fever'], ['leaf', 'Gonorrhea'], ['flower', 'Cough'], ['flower', 'Erectile dysfunction'], ['flower', 'Fertility agents'], ['seed', 'Demulcents'], ['seed', 'Cystitis'], ['seed', 'Aphrodisiacs'], ['seed', 'Antifungal agents'], ['root', 'Urination disorders'], ['None', 'Anthelmintics'], ['whole plant', 'Diuretics'], ['root', 'Vitiligo'], ['None', 'Hemorrhoids'], ['None', 'Anticonvulsants'], ['None', 'Wounds and injuries'], ['None', 'Vaginal discharge'], ['None', 'Urethritis'], ['None', 'Ulcer'], ['None', 'Toothache'], ['seed', 'Expectorants'], ['seed', 'Hemorrhoids'], ['seed', 'Laxatives'], ['whole plant', 'Anti-inflammatory agents'], ['whole plant', 'Hypnotics and sedatives'], ['whole plant', 'Insect repellents'], ['whole plant', 'Laxatives'], ['whole plant', 'Ulcer'], ['whole plant', 'Paralysis'], ['whole plant', 'General tonic for rejuvenation'], ['whole plant', 'Gonorrhea'], ['None', 'Postnatal care'], ['whole plant', 'Urinary bladder diseases'], ['None', 'Analgesics'], ['whole plant', 'Leprosy'], ['whole plant', 'Expectorants'], ['whole plant', 'Astringents'], ['whole plant', 'Cystitis'], ['whole plant', 'Cough'], ['whole plant', 'Aphrodisiacs'], ['None', 'Immunostimulant'], ['whole plant', 'Headache'], ['None', 'Periodontal diseases'], ['None', 'Muscle cramp'], ['None', 'Dysentery'], ['None', 'Disorder of ejaculation'], ['None', 'Chest pain'], ['root', 'Urinary bladder calculi'], ['leaf', 'Hydrocele'], ['root', 'Polyuria'], ['leaf', 'Bronchitis'], ['leaf', 'Antirheumatic agents'], ['leaf', 'Abdominal pain'], ['fruit', 'Stomach diseases'], ['fruit', 'Analgesics'], ['flower', 'Ulcer'], ['flower', 'Hematemesis'], ['flower', 'Gonorrhea'], ['flower', 'Furunculosis'], ['None', 'Diuretics'], ['None', 'Demulcents'], ['None', 'Cystitis'], ['None', 'Colic'], ['None', 'Menorrhagia'], ['None', 'Low back pain'], ['root', 'Urinary bladder diseases'], ['None', 'Heart diseases'], ['None', 'Fractures, bone'], ['None', 'Fever'], ['None', 'Epistaxis'], ['None', 'Nervous system diseases'], ['None', 'Enema'], ['None', 'Antineoplastic agents'], ['None', 'Antirheumatic agents'], ['None', 'Astringents'], ['None', 'Bronchitis'], ['None', 'Candidiasis, vulvovaginal'], ['None', 'Anti-bacterial agents'], ['None', 'Central nervous system diseases'], ['None', 'Anti-inflammatory agents'], ['seed', 'Gonorrhea']]",Plantae,Malvaceae,Angiosperms,Indian Mallow,"Abutilon indicum, Abutilon asiaticum, Abutilion indicum","Ayurveda, Siddha, Unani"
32,Abutilon pannosum,Abutilon pannosum,"[['leaf', 'Hemorrhoids']]",Plantae,Malvaceae,Angiosperms,Ragged Mallow,"Abutilon glaucum, Abutilon muticum, Abutilon pannosum",
34,Abutilon ramosum,Abutilon ramosum,"[['None', 'Parasympatholytics'], ['None', 'Central nervous system depressants']]",Plantae,Malvaceae,Angiosperms,Sticky Indian Mallow,Abutilon ramosum,
