Plant_Id,Scientific_Name,Common_Name,Regional_Name,Category,Family,Light,Water,Primary_Grown_for,Flowering_Season,Foliage_Color,Height_or_Length,Spread_or_Width,Plant_Form,Lifespan,Special_Feature,Plant_Description,Growing_Tips,Image_Paths
234,Rosa maria callas,Rose Maria Callas,"Marathi - Gulab, Bengali - Golap, Hindi - Gulab, Punjabi - Gulab, Kannada - Gulabi, Tamil - Troja, Telugu - Roja",Rose Hybrid Teas,Rosaceae or Apple family,Sun growing,Normal,Flowers,"Year-around flowering, Flowers in flushes throughout the year",Green,1 to 2 meters,1 to 2 meters,Upright or Erect,,"Plant for puja or prayer flower or leaves, Attracts birds, Attracts butterflies, Attracts bees, Thorny or Spiny, Grows best in cooler regions","Big and bold, perfectly formed hot pink flowers give this beauty an exceptional appeal. Medium, bushy plant covered with grand foliage. AARS 1968. Hybrid Tea. Pinks., other name "" Miss All American Beauty"", deep pink colour flowers, very large even upto 6"" when fully bloomed, 50 to 60 petals, best exhibition quality rose, best as cut flower","Tall growing  4 to 6', disease free","['Scraped_Images/234_Rosa maria callas/Rosa maria callas_0.jpg', 'Scraped_Images/234_Rosa maria callas/Rosa maria callas_1.jpg', 'Scraped_Images/234_Rosa maria callas/Rosa maria callas_2.jpg', 'Scraped_Images/234_Rosa maria callas/Rosa maria callas_3.jpg', 'Scraped_Images/234_Rosa maria callas/Rosa maria callas_4.jpg']"
235,Rosa mascote,Rose Mascote,"Marathi - Gulab, Bengali - Golap, Hindi - Gulab, Punjabi - Gulab, Kannada - Gulabi, Tamil - Troja, Telugu - Roja",Rose Hybrid Teas,Rosaceae or Apple family,Sun growing,Normal,Flowers,"Year-around flowering, Flowers in flushes throughout the year",Green,1 to 2 meters,1 to 2 meters,Upright or Erect,,"Plant for puja or prayer flower or leaves, Attracts birds, Attracts butterflies, Attracts bees, Thorny or Spiny, Grows best in cooler regions","Perfect blend of yellow and cardinal red. Very shapely flowers, produced freely. Dwarf growing plant is covered with shiny dark green foliage. Hybrid Tea. Blend",For growing details please refer article on growing roses given below.,"['Scraped_Images/235_Rosa mascote/Rosa mascote_0.jpg', 'Scraped_Images/235_Rosa mascote/Rosa mascote_1.jpg', 'Scraped_Images/235_Rosa mascote/Rosa mascote_2.jpg', 'Scraped_Images/235_Rosa mascote/Rosa mascote_3.jpg', 'Scraped_Images/235_Rosa mascote/Rosa mascote_4.jpg']"
236,Rosa mischief,Rose Mischief,"Marathi - Gulab, Bengali - Golap, Hindi - Gulab, Punjabi - Gulab, Kannada - Gulabi, Tamil - Troja, Telugu - Roja",Rose Hybrid Teas,Rosaceae or Apple family,Sun growing,Normal,Flowers,"Year-around flowering, Flowers in flushes throughout the year",Green,1 to 2 meters,1 to 2 meters,Upright or Erect,,"Fragrant flowers or leaves, Plant for puja or prayer flower or leaves, Attracts birds, Attracts butterflies, Attracts bees, Thorny or Spiny, Grows best in cooler regions",A real mischievous flower. Coral salmon with shapely and fragrant flowers. Medium free flowering plant. Hybrid Tea.,For growing details please refer article on growing roses given below.,"['Scraped_Images/236_Rosa mischief/Rosa mischief_0.jpg', 'Scraped_Images/236_Rosa mischief/Rosa mischief_1.jpg', 'Scraped_Images/236_Rosa mischief/Rosa mischief_2.jpg', 'Scraped_Images/236_Rosa mischief/Rosa mischief_3.jpg', 'Scraped_Images/236_Rosa mischief/Rosa mischief_4.jpg']"
237,Rosa modern art,Rose Modern Art,"Marathi - Gulab, Bengali - Golap, Hindi - Gulab, Punjabi - Gulab, Kannada - Gulabi, Tamil - Troja, Telugu - Roja",Rose Hybrid Teas,Rosaceae or Apple family,Sun growing,Normal,Flowers,"Year-around flowering, Flowers in flushes throughout the year",Green,1 to 2 meters,1 to 2 meters,Upright or Erect,,"Good for Cut flowers, Plant for puja or prayer flower or leaves, Attracts birds, Attracts butterflies, Attracts bees, Thorny or Spiny, Grows best in cooler regions","Hand painted bicolour with glowing orange red and white reverse. Very showy flowers produced freely on medium sized bushy plants. Good for exhibition and cutting. Hybrid Tea. Bicolour., bicolour rose, red orange from inside white pale colour on reverse, long stems, profused flowering, attractive","Medium tall, bushy, excellent disease resistant","['Scraped_Images/237_Rosa modern art/Rosa modern art_0.jpg', 'Scraped_Images/237_Rosa modern art/Rosa modern art_1.jpg', 'Scraped_Images/237_Rosa modern art/Rosa modern art_2.jpg', 'Scraped_Images/237_Rosa modern art/Rosa modern art_3.jpg', 'Scraped_Images/237_Rosa modern art/Rosa modern art_4.jpg']"
238,Ficus long island,Ficus Long Island,,"Shrubs, Groundcovers, Indoor Plants",Moraceae or Fig family,"Sun growing, Semi shade","Normal, Can tolerate less, Can tolerate more",Fruit or Seed,Flowers are inconspicuous,Green,50 cms to 100 cms,50 cms to 100 cms,Spherical or rounded,,"Good for making bonsai, Good for Topiary, Good for screening, Good for Hedges and Borders, Good for Edges ie very small hedge or border, Attracts birds, Suitable for road median planting, Hanging or weeping growth habit, Salt or salinity tolerant, Good on seaside, NASA plant for Indoor pollution control","This is a dwarf type of ficus., Plants seldom grow over a few meters tall., Plants are excellent for bonsai., They get small fig like fruit that turns a lovely shade of red. Unlike other ficus even small plants get plenty of fruit., The foliage has a sheen and is long lived.","A very versatile small sized ficus., Will grow well in small containers as well as the ground., Good fertile and well drained soil will make the plant happy and its leaves will sparkle.","['Scraped_Images/238_Ficus long island/Ficus long island_0.jpg', 'Scraped_Images/238_Ficus long island/Ficus long island_1.jpg', 'Scraped_Images/238_Ficus long island/Ficus long island_2.jpg', 'Scraped_Images/238_Ficus long island/Ficus long island_3.jpg', 'Scraped_Images/238_Ficus long island/Ficus long island_4.jpg']"
239,Ficus lyrata,Fiddle Leaf Fig,,"Indoor Plants, Trees, Shrubs",Moraceae or Fig family,"Sun growing, Semi shade, Shade growing","Normal, Can tolerate less, Can tolerate more",Foliage,Flowers are inconspicuous,Green,More than 12 meters,8 to 12 meters,Upright or Erect,,"Good for screening, Attracts birds, Recommended for creating shade, Quick growing trees, Evergreen trees, Suitable for avenue planting, Good on seaside, NASA plant for Indoor pollution control","A very pretty large leaved ficus. Holds its leaves at an upright angle. They are stiff and tough., Native Africa., Evergreen shrub to a large tree over 12 meters tall., A popular indoor plant especially in Europe and the USA., As garden specimen it forms a handsome rounded very coarse textured crown., The variegated form is rare and quite expensive.","Very slow growing especially when grown in containers., Soil with plenty of organic matter and fertile.","['Scraped_Images/239_Ficus lyrata/Ficus lyrata_0.jpg', 'Scraped_Images/239_Ficus lyrata/Ficus lyrata_1.jpg', 'Scraped_Images/239_Ficus lyrata/Ficus lyrata_2.jpg', 'Scraped_Images/239_Ficus lyrata/Ficus lyrata_3.jpg', 'Scraped_Images/239_Ficus lyrata/Ficus lyrata_4.jpg']"
240,"Ficus maccalendii, Ficus nerifolia",Narrow Leaf Ficus,,"Shrubs, Trees, Indoor Plants",Moraceae or Fig family,"Sun growing, Semi shade","Normal, Can tolerate less, Can tolerate more",Foliage,Flowers are inconspicuous,Green,8 to 12 meters,6 to 8 meters,"Upright or Erect, Weeping",,"Good for Cut foliage, Good for screening, Good for Hedges and Borders, Attracts birds, Recommended for creating shade, Quick growing trees, Evergreen trees, Suitable for road median planting, Suitable for avenue planting, Hanging or weeping growth habit, Good on seaside, NASA plant for Indoor pollution control","Its long drooping leaves give the plant a weeping appearance., Plants can be trimmed and kept short in gardens., If allowed to grow they develop into large evergreen trees over 30 meters tall., Plants are quick growing & need little care.","Very quick growing., Soil - good fertile and deep soils recommended. PLants are very hardy and will grow in all soils., Make versatile pot plants for indoor decoration., Can tolerate a wide range of climates. Do not like it too cold though., Sun grown plants should not be directly put indoors. They will shed a lot of leaves. Plants have to be acclamatized to the lower light level. They have to be shifted gradually.","['Scraped_Images/240_Ficus maccalendii, Ficus nerifolia/Ficus maccalendii, Ficus nerifolia_0.jpg', 'Scraped_Images/240_Ficus maccalendii, Ficus nerifolia/Ficus maccalendii, Ficus nerifolia_1.jpg', 'Scraped_Images/240_Ficus maccalendii, Ficus nerifolia/Ficus maccalendii, Ficus nerifolia_2.jpg', 'Scraped_Images/240_Ficus maccalendii, Ficus nerifolia/Ficus maccalendii, Ficus nerifolia_3.jpg', 'Scraped_Images/240_Ficus maccalendii, Ficus nerifolia/Ficus maccalendii, Ficus nerifolia_4.jpg']"
241,Ficus maccalendii aureum,"Ficus Nerifolia Golden, Ficus Ali, Ficus Amstel Gold","Marathi, Hindi - Ficus Ali","Shrubs, Indoor Plants, Trees",Moraceae or Fig family,Semi shade,"Normal, Can tolerate less, Can tolerate more",Foliage,Flowers are inconspicuous,"Yellow, Green",2 to 4 meters,1 to 2 meters,"Upright or Erect, Weeping",,"Good for screening, Good for Hedges and Borders, Attracts birds, Recommended for creating shade, Evergreen trees, Hanging or weeping growth habit, Good on seaside, NASA plant for Indoor pollution control","A relatively new ficus variety., Plants develop a nice golden aura., The plants cannot tolerate full sunlight except in very humid areas., They do best in semi shade where they can get bright light. A location with morning or evening sunlight is perfect., The long golden leaves make the plant stand out in any landscape.","The only tricky part about growing this plant successfully is its light requirement., Once you have got this correct - you will have a great plant growing., Very quick growing., Soil - good fertile and deep soils recommended. PLants are very hardy and will grow in all soils., Make versatile pot plants for indoor decoration., Can tolerate a wide range of climates. Do not like it too cold though., Will not develop much color in shade. If you have to grow it indoors - it is better to use the green variety.",[]
242,Ficus nuda variegata,Ficus Nuda Variegated,,"Shrubs, Trees",Moraceae or Fig family,"Sun growing, Semi shade","Normal, Can tolerate less, Can tolerate more",Foliage,Flowers are inconspicuous,"Variegated, Green, White",4 to 6 meters,2 to 4 meters,"Irregular, Upright or Erect",,"Good for making bonsai, Good for Topiary, Good for screening, Good for Hedges and Borders, Good for Edges ie very small hedge or border, Attracts birds, Quick growing trees, Suitable for road median planting, Good on seaside, Plant name probably not correct","We are not very sure that this is its correct name!, This variety has been around for the past three decades or more!, The leaves are stiff and leathery., It is the best variegated ficus for growing in full sunlight., It does not like shade very much., Plants can grow to over five meters tall., It can be trimmed and kept in shape.","Very quick growing - especially when grown in the ground., Soil - good fertile and deep soils recommended. PLants are very hardy and will grow in all soils., Make versatile pot plants for indoor decoration., Can tolerate a wide range of climates. Do not like it too cold though., Sun grown plants should not be directly put indoors. They will shed a lot of leaves. Plants have to be acclamatized to the lower light level. They have to be shifted gradually., An important note for ficus - many ficus plants especially benjamina varieties have been attatcked by a leaf curling insect. It affects the growing tips. It is very difficult to control this - as the plants are very popular and we cannot spray all of them. Cutting and burning the tips - followed by sprays of systemic insecticides will help.","['Scraped_Images/242_Ficus nuda variegata/Ficus nuda variegata_0.jpg', 'Scraped_Images/242_Ficus nuda variegata/Ficus nuda variegata_1.jpg', 'Scraped_Images/242_Ficus nuda variegata/Ficus nuda variegata_2.jpg', 'Scraped_Images/242_Ficus nuda variegata/Ficus nuda variegata_3.jpg', 'Scraped_Images/242_Ficus nuda variegata/Ficus nuda variegata_4.jpg']"
243,Ficus salicifolia,Ficus Salicifolia,,"Shrubs, Indoor Plants, Groundcovers",Moraceae or Fig family,"Sun growing, Semi shade, Shade growing","Normal, Can tolerate less, Can tolerate more",Foliage,Flowers are inconspicuous,Green,2 to 4 meters,2 to 4 meters,"Irregular, Upright or Erect",,"Good for making bonsai, Good for Topiary, Good for screening, Good for Hedges and Borders, Quick growing trees, Suitable for road median planting, Good on seaside","Evergreen shrub or tree with dense branches., Closely set with willow like, narrow lanceolate leathery leaves 3 to 10 cm long the margins recurved., Leaves are highly variable in size., Excellent for bonsai and as a ground cover., We have not seen it grow more than a shrub - and do not know if does.","As neasy to grow ficus., Will grow in any soil., Normal irrigation if fine.","['Scraped_Images/243_Ficus salicifolia/Ficus salicifolia_0.jpg', 'Scraped_Images/243_Ficus salicifolia/Ficus salicifolia_1.jpg', 'Scraped_Images/243_Ficus salicifolia/Ficus salicifolia_2.jpg', 'Scraped_Images/243_Ficus salicifolia/Ficus salicifolia_3.jpg', 'Scraped_Images/243_Ficus salicifolia/Ficus salicifolia_4.jpg']"
