Plant_id,Scientific_name,Plant_Name_Mapped,Plant_Part,Therapeutic_Use
8,Abelmoschus esculentus,Abelmoschus esculentus,,Urination disorders
8,Abelmoschus esculentus,Abelmoschus esculentus,,Abdominal pain
8,Abelmoschus esculentus,Abelmoschus esculentus,,Analgesics
8,Abelmoschus esculentus,Abelmoschus esculentus,,Anemia
8,Abelmoschus esculentus,Abelmoschus esculentus,,Antipruritics
8,Abelmoschus esculentus,Abelmoschus esculentus,,Aphrodisiacs
8,Abelmoschus esculentus,Abelmoschus esculentus,,Appetite stimulants
8,Abelmoschus esculentus,Abelmoschus esculentus,seed,General tonic for rejuvenation
8,Abelmoschus esculentus,Abelmoschus esculentus,,Asthenia
8,Abelmoschus esculentus,Abelmoschus esculentus,,Demulcents
8,Abelmoschus esculentus,Abelmoschus esculentus,,Diarrhea
8,Abelmoschus esculentus,Abelmoschus esculentus,,Diuretics
8,Abelmoschus esculentus,Abelmoschus esculentus,,Dysentery
8,Abelmoschus esculentus,Abelmoschus esculentus,,Dysuria
8,Abelmoschus esculentus,Abelmoschus esculentus,,Disorder of ejaculation
8,Abelmoschus esculentus,Abelmoschus esculentus,,Common cold
8,Abelmoschus esculentus,Abelmoschus esculentus,seed,Parasympatholytics
8,Abelmoschus esculentus,Abelmoschus esculentus,seed,Bites and stings
8,Abelmoschus esculentus,Abelmoschus esculentus,seed,Antineoplastic agents
8,Abelmoschus esculentus,Abelmoschus esculentus,fruit,Antineoplastic agents
8,Abelmoschus esculentus,Abelmoschus esculentus,fruit,Aphrodisiacs
8,Abelmoschus esculentus,Abelmoschus esculentus,fruit,Demulcents
8,Abelmoschus esculentus,Abelmoschus esculentus,fruit,Diarrhea
8,Abelmoschus esculentus,Abelmoschus esculentus,fruit,"Diet, food, and nutrition"
8,Abelmoschus esculentus,Abelmoschus esculentus,fruit,Digestive system diseases
8,Abelmoschus esculentus,Abelmoschus esculentus,fruit,Diuretics
8,Abelmoschus esculentus,Abelmoschus esculentus,fruit,Dysentery
8,Abelmoschus esculentus,Abelmoschus esculentus,fruit,Emollients
8,Abelmoschus esculentus,Abelmoschus esculentus,fruit,Exanthema
8,Abelmoschus esculentus,Abelmoschus esculentus,fruit,Fever
8,Abelmoschus esculentus,Abelmoschus esculentus,fruit,Gonorrhea
8,Abelmoschus esculentus,Abelmoschus esculentus,fruit,Sexually transmitted diseases
8,Abelmoschus esculentus,Abelmoschus esculentus,plant exudate,Hypoglycemic agents
8,Abelmoschus esculentus,Abelmoschus esculentus,seed,Antifungal agents
8,Abelmoschus esculentus,Abelmoschus esculentus,,Emollients
8,Abelmoschus esculentus,Abelmoschus esculentus,,Gonorrhea
8,Abelmoschus esculentus,Abelmoschus esculentus,fruit,Common cold
8,Abelmoschus esculentus,Abelmoschus esculentus,,Hematologic diseases
8,Abelmoschus esculentus,Abelmoschus esculentus,,Urethral discharge
9,Abelmoschus ficulneus,Abelmoschus ficulneus,root,Wounds and injuries
9,Abelmoschus ficulneus,Abelmoschus ficulneus,seed,Asthma
9,Abelmoschus ficulneus,Abelmoschus ficulneus,,Wound healing
10,Abelmoschus manihot,Abelmoschus manihot,root,Tuberculosis
10,Abelmoschus manihot,Abelmoschus manihot,root,Sprains and strains
10,Abelmoschus manihot,Abelmoschus manihot,root,Pneumonia
10,Abelmoschus manihot,Abelmoschus manihot,root,Liver failure
10,Abelmoschus manihot,Abelmoschus manihot,root,Hypoglycemic agents
10,Abelmoschus manihot,Abelmoschus manihot,root,Dysentery
10,Abelmoschus manihot,Abelmoschus manihot,root,Wounds and injuries
10,Abelmoschus manihot,Abelmoschus manihot,leaf,Wounds and injuries
10,Abelmoschus manihot,Abelmoschus manihot,leaf,Sprains and strains
10,Abelmoschus manihot,Abelmoschus manihot,leaf,Furunculosis
10,Abelmoschus manihot,Abelmoschus manihot,flower,Toothache
10,Abelmoschus manihot,Abelmoschus manihot,flower,Bronchitis
10,Abelmoschus manihot,Abelmoschus manihot,bark,Menstruation-inducing agents
10,Abelmoschus manihot,Abelmoschus manihot,plant exudate,Hypoglycemic agents
10,Abelmoschus manihot,Abelmoschus manihot,root,Furunculosis
13,Abelmoschus moschatus,Abelmoschus moschatus,,Antipruritics
13,Abelmoschus moschatus,Abelmoschus moschatus,,Cardiotonic agents
13,Abelmoschus moschatus,Abelmoschus moschatus,,Calculi
13,Abelmoschus moschatus,Abelmoschus moschatus,,Bronchitis
13,Abelmoschus moschatus,Abelmoschus moschatus,,Asthma
13,Abelmoschus moschatus,Abelmoschus moschatus,,Asthenia
13,Abelmoschus moschatus,Abelmoschus moschatus,,Appetite stimulants
13,Abelmoschus moschatus,Abelmoschus moschatus,,Aphrodisiacs
13,Abelmoschus moschatus,Abelmoschus moschatus,plant exudate,Hypoglycemic agents
13,Abelmoschus moschatus,Abelmoschus moschatus,seed,Cooling effect on body
13,Abelmoschus moschatus,Abelmoschus moschatus,seed,Stomach neoplasms
13,Abelmoschus moschatus,Abelmoschus moschatus,seed,Snake bites
13,Abelmoschus moschatus,Abelmoschus moschatus,seed,Skin diseases
13,Abelmoschus moschatus,Abelmoschus moschatus,seed,General tonic for rejuvenation
13,Abelmoschus moschatus,Abelmoschus moschatus,seed,Pruritus
13,Abelmoschus moschatus,Abelmoschus moschatus,seed,Pharyngitis
13,Abelmoschus moschatus,Abelmoschus moschatus,,Cough
13,Abelmoschus moschatus,Abelmoschus moschatus,,Dry throat
13,Abelmoschus moschatus,Abelmoschus moschatus,,Diarrhea
13,Abelmoschus moschatus,Abelmoschus moschatus,,Heart diseases
13,Abelmoschus moschatus,Abelmoschus moschatus,,Dyspepsia
13,Abelmoschus moschatus,Abelmoschus moschatus,,Scabies
13,Abelmoschus moschatus,Abelmoschus moschatus,,General tonic for rejuvenation
13,Abelmoschus moschatus,Abelmoschus moschatus,,Pectoralis muscles
13,Abelmoschus moschatus,Abelmoschus moschatus,,Parasympatholytics
13,Abelmoschus moschatus,Abelmoschus moschatus,,Pain
13,Abelmoschus moschatus,Abelmoschus moschatus,,Nervous system diseases
13,Abelmoschus moschatus,Abelmoschus moschatus,,Nausea
13,Abelmoschus moschatus,Abelmoschus moschatus,,Insecticides
13,Abelmoschus moschatus,Abelmoschus moschatus,,Diuretics
13,Abelmoschus moschatus,Abelmoschus moschatus,,Hysteria
13,Abelmoschus moschatus,Abelmoschus moschatus,seed,Parasympatholytics
13,Abelmoschus moschatus,Abelmoschus moschatus,,Halitosis
13,Abelmoschus moschatus,Abelmoschus moschatus,,Hair diseases
13,Abelmoschus moschatus,Abelmoschus moschatus,,Graves ophthalmopathy
13,Abelmoschus moschatus,Abelmoschus moschatus,,Gonorrhea
13,Abelmoschus moschatus,Abelmoschus moschatus,,Flatulence
13,Abelmoschus moschatus,Abelmoschus moschatus,,Eye diseases
13,Abelmoschus moschatus,Abelmoschus moschatus,,Disorder of ejaculation
13,Abelmoschus moschatus,Abelmoschus moschatus,,Hoarseness
13,Abelmoschus moschatus,Abelmoschus moschatus,seed,Nervous system diseases
13,Abelmoschus moschatus,Abelmoschus moschatus,seed,Asthma
13,Abelmoschus moschatus,Abelmoschus moschatus,seed,Insecticides
13,Abelmoschus moschatus,Abelmoschus moschatus,plant exudate,Urinary bladder diseases
13,Abelmoschus moschatus,Abelmoschus moschatus,plant exudate,Immunomodulation
13,Abelmoschus moschatus,Abelmoschus moschatus,leaf,Tooth diseases
13,Abelmoschus moschatus,Abelmoschus moschatus,leaf,Sexually transmitted diseases
13,Abelmoschus moschatus,Abelmoschus moschatus,,Sialorrhea
13,Abelmoschus moschatus,Abelmoschus moschatus,leaf,Relaxation
13,Abelmoschus moschatus,Abelmoschus moschatus,leaf,Headache
13,Abelmoschus moschatus,Abelmoschus moschatus,leaf,Gonorrhea
13,Abelmoschus moschatus,Abelmoschus moschatus,leaf,Furunculosis
13,Abelmoschus moschatus,Abelmoschus moschatus,leaf,Fever
13,Abelmoschus moschatus,Abelmoschus moschatus,leaf,Eye diseases
13,Abelmoschus moschatus,Abelmoschus moschatus,leaf,Disorder of ejaculation
13,Abelmoschus moschatus,Abelmoschus moschatus,leaf,Cystitis
13,Abelmoschus moschatus,Abelmoschus moschatus,leaf,Cough
13,Abelmoschus moschatus,Abelmoschus moschatus,leaf,Astringents
13,Abelmoschus moschatus,Abelmoschus moschatus,leaf,Antirheumatic agents
13,Abelmoschus moschatus,Abelmoschus moschatus,fruit,Hair loss
13,Abelmoschus moschatus,Abelmoschus moschatus,plant exudate,Urination disorders
13,Abelmoschus moschatus,Abelmoschus moschatus,seed,Miliaria
13,Abelmoschus moschatus,Abelmoschus moschatus,root,Antirheumatic agents
13,Abelmoschus moschatus,Abelmoschus moschatus,root,Cystitis
13,Abelmoschus moschatus,Abelmoschus moschatus,seed,"Influenza, human"
13,Abelmoschus moschatus,Abelmoschus moschatus,seed,Hysteria
13,Abelmoschus moschatus,Abelmoschus moschatus,seed,Flatulence
13,Abelmoschus moschatus,Abelmoschus moschatus,seed,Diuretics
13,Abelmoschus moschatus,Abelmoschus moschatus,seed,Demulcents
13,Abelmoschus moschatus,Abelmoschus moschatus,seed,Common cold
13,Abelmoschus moschatus,Abelmoschus moschatus,seed,Bites and stings
13,Abelmoschus moschatus,Abelmoschus moschatus,seed,Appetite stimulants
13,Abelmoschus moschatus,Abelmoschus moschatus,seed,Aphrodisiacs
13,Abelmoschus moschatus,Abelmoschus moschatus,seed,Anthelmintics
13,Abelmoschus moschatus,Abelmoschus moschatus,root,Varicose veins
13,Abelmoschus moschatus,Abelmoschus moschatus,root,Sexually transmitted diseases
13,Abelmoschus moschatus,Abelmoschus moschatus,root,Relaxation
13,Abelmoschus moschatus,Abelmoschus moschatus,root,Headache
13,Abelmoschus moschatus,Abelmoschus moschatus,root,Gonorrhea
13,Abelmoschus moschatus,Abelmoschus moschatus,root,Furunculosis
13,Abelmoschus moschatus,Abelmoschus moschatus,root,Fever
13,Abelmoschus moschatus,Abelmoschus moschatus,root,Astringents
13,Abelmoschus moschatus,Abelmoschus moschatus,leaf,Varicose veins
13,Abelmoschus moschatus,Abelmoschus moschatus,,Thirst
13,Abelmoschus moschatus,Abelmoschus moschatus,,Vomiting
13,Abelmoschus moschatus,Abelmoschus moschatus,,Urination disorders
13,Abelmoschus moschatus,Abelmoschus moschatus,plant exudate,Aphrodisiacs
16,Abroma augusta,Abroma augusta,root,Menstruation-inducing agents
16,Abroma augusta,Abroma augusta,root,Amenorrhea
16,Abroma augusta,Abroma augusta,root,Dysmenorrhea
16,Abroma augusta,Abroma augusta,root,Uterine diseases
18,Abrus precatorius,Abrus precatorius,seed,Nervous system diseases
18,Abrus precatorius,Abrus precatorius,seed,Acquired immunodeficiency syndrome
18,Abrus precatorius,Abrus precatorius,seed,Acne vulgaris
18,Abrus precatorius,Abrus precatorius,seed,Abortifacient agents
18,Abrus precatorius,Abrus precatorius,root,Whooping cough
18,Abrus precatorius,Abrus precatorius,root,Urination disorders
18,Abrus precatorius,Abrus precatorius,root,"Tuberculosis, lymph node"
18,Abrus precatorius,Abrus precatorius,root,Thirst
18,Abrus precatorius,Abrus precatorius,root,Syphilis
