Plant_Id,Scientific_name,Plant_Name_Mapped,Plant_Use
8,Abelmoschus esculentus,Abelmoschus esculentus,"[['None', 'Hematologic diseases'], ['fruit', 'Demulcents'], ['fruit', 'Diarrhea'], ['fruit', 'Digestive system diseases'], ['fruit', 'Diuretics'], ['fruit', 'Dysentery'], ['fruit', 'Emollients'], ['fruit', 'Exanthema'], ['fruit', 'Aphrodisiacs'], ['fruit', 'Fever'], ['fruit', 'Sexually transmitted diseases'], ['plant exudate', 'Hypoglycemic agents'], ['seed', 'Antifungal agents'], ['None', 'Emollients'], ['None', 'Gonorrhea'], ['fruit', 'Common cold'], ['None', 'Urethral discharge'], ['fruit', 'Gonorrhea'], ['fruit', 'Antineoplastic agents'], ['fruit', 'Diet, food, and nutrition'], ['seed', 'Bites and stings'], ['None', 'Urination disorders'], ['None', 'Abdominal pain'], ['None', 'Analgesics'], ['None', 'Anemia'], ['seed', 'Antineoplastic agents'], ['None', 'Aphrodisiacs'], ['None', 'Appetite stimulants'], ['seed', 'General tonic for rejuvenation'], ['None', 'Asthenia'], ['None', 'Antipruritics'], ['None', 'Diarrhea'], ['None', 'Demulcents'], ['None', 'Common cold'], ['None', 'Disorder of ejaculation'], ['seed', 'Parasympatholytics'], ['None', 'Dysuria'], ['None', 'Dysentery'], ['None', 'Diuretics']]"
9,Abelmoschus ficulneus,Abelmoschus ficulneus,"[['root', 'Wounds and injuries'], ['seed', 'Asthma'], ['None', 'Wound healing']]"
10,Abelmoschus manihot,Abelmoschus manihot,"[['root', 'Furunculosis'], ['plant exudate', 'Hypoglycemic agents'], ['bark', 'Menstruation-inducing agents'], ['flower', 'Bronchitis'], ['flower', 'Toothache'], ['leaf', 'Furunculosis'], ['leaf', 'Sprains and strains'], ['leaf', 'Wounds and injuries'], ['root', 'Dysentery'], ['root', 'Hypoglycemic agents'], ['root', 'Liver failure'], ['root', 'Pneumonia'], ['root', 'Sprains and strains'], ['root', 'Tuberculosis'], ['root', 'Wounds and injuries']]"
13,Abelmoschus moschatus,Abelmoschus moschatus,"[['leaf', 'Tooth diseases'], ['leaf', 'Astringents'], ['leaf', 'Antirheumatic agents'], ['fruit', 'Hair loss'], ['root', 'Antirheumatic agents'], ['seed', 'Miliaria'], ['leaf', 'Cough'], ['seed', 'Influenza, human'], ['plant exudate', 'Urination disorders'], ['leaf', 'Cystitis'], ['leaf', 'Furunculosis'], ['leaf', 'Eye diseases'], ['leaf', 'Fever'], ['leaf', 'Gonorrhea'], ['leaf', 'Headache'], ['leaf', 'Relaxation'], ['None', 'Sialorrhea'], ['leaf', 'Sexually transmitted diseases'], ['seed', 'Hysteria'], ['leaf', 'Disorder of ejaculation'], ['seed', 'Flatulence'], ['root', 'Cystitis'], ['seed', 'Demulcents'], ['plant exudate', 'Immunomodulation'], ['plant exudate', 'Aphrodisiacs'], ['None', 'Urination disorders'], ['None', 'Vomiting'], ['None', 'Thirst'], ['leaf', 'Varicose veins'], ['root', 'Astringents'], ['root', 'Fever'], ['root', 'Furunculosis'], ['root', 'Gonorrhea'], ['root', 'Headache'], ['root', 'Relaxation'], ['root', 'Sexually transmitted diseases'], ['root', 'Varicose veins'], ['seed', 'Anthelmintics'], ['seed', 'Aphrodisiacs'], ['seed', 'Appetite stimulants'], ['seed', 'Bites and stings'], ['seed', 'Common cold'], ['seed', 'Diuretics'], ['plant exudate', 'Urinary bladder diseases'], ['None', 'Disorder of ejaculation'], ['seed', 'Asthma'], ['None', 'Diarrhea'], ['None', 'Dry throat'], ['None', 'Cough'], ['seed', 'Pharyngitis'], ['seed', 'Pruritus'], ['seed', 'General tonic for rejuvenation'], ['seed', 'Skin diseases'], ['seed', 'Snake bites'], ['None', 'Heart diseases'], ['seed', 'Stomach neoplasms'], ['plant exudate', 'Hypoglycemic agents'], ['None', 'Aphrodisiacs'], ['None', 'Appetite stimulants'], ['None', 'Asthenia'], ['None', 'Asthma'], ['None', 'Bronchitis'], ['None', 'Calculi'], ['None', 'Cardiotonic agents'], ['seed', 'Cooling effect on body'], ['None', 'Dyspepsia'], ['None', 'Scabies'], ['None', 'General tonic for rejuvenation'], ['seed', 'Nervous system diseases'], ['None', 'Hoarseness'], ['None', 'Eye diseases'], ['None', 'Flatulence'], ['None', 'Gonorrhea'], ['None', 'Graves ophthalmopathy'], ['None', 'Hair diseases'], ['None', 'Halitosis'], ['None', 'Antipruritics'], ['seed', 'Parasympatholytics'], ['None', 'Diuretics'], ['None', 'Insecticides'], ['None', 'Nausea'], ['None', 'Nervous system diseases'], ['None', 'Pain'], ['None', 'Parasympatholytics'], ['None', 'Pectoralis muscles'], ['seed', 'Insecticides'], ['None', 'Hysteria']]"
16,Abroma augusta,Abroma augusta,"[['root', 'Uterine diseases'], ['root', 'Amenorrhea'], ['root', 'Dysmenorrhea'], ['root', 'Menstruation-inducing agents']]"
18,Abrus precatorius,Abrus precatorius,"[['leaf', 'Pain'], ['leaf', 'Menorrhagia'], ['leaf', 'Jaundice'], ['leaf', 'Inflammation'], ['leaf', 'Infection'], ['leaf', 'Hypnotics and sedatives'], ['leaf', 'Hoarseness'], ['leaf', 'Hepatitis'], ['leaf', 'Headache'], ['leaf', 'Pruritus'], ['bark', 'Menstruation'], ['leaf', 'Stomach diseases'], ['root', 'Colic'], ['root', 'Emetics'], ['seed', 'General tonic for rejuvenation'], ['None', 'Dizziness'], ['None', 'Emetics'], ['None', 'Eye diseases'], ['None', 'Fever'], ['None', 'Fractures, bone'], ['leaf', 'Fever'], ['leaf', 'Gonorrhea'], ['leaf', 'General tonic for rejuvenation'], ['leaf', 'Stomatitis'], ['None', 'Gingivitis'], ['fruit', 'Tuberculosis, lymph node'], ['root', 'Cough'], ['leaf', 'Edema'], ['leaf', 'Endophthalmitis'], ['root', 'Chest pain'], ['root', 'Biliary tract diseases'], ['root', 'Astringents'], ['root', 'Asthma'], ['leaf', 'Skin diseases'], ['root', 'Aphrodisiacs'], ['root', 'Hair loss'], ['root', 'Abortifacient agents'], ['leaf', 'Vomiting'], ['leaf', 'Vitiligo'], ['leaf', 'Urination disorders'], ['leaf', 'Tuberculosis, lymph node'], ['leaf', 'Toothache'], ['leaf', 'Thirst'], ['leaf', 'Emetics'], ['root', 'Antirheumatic agents'], ['None', 'Headache'], ['None', 'General tonic for rejuvenation'], ['None', 'Intestinal diseases, parasitic'], ['seed', 'Uterine contraction'], ['seed', 'Uterine diseases'], ['seed', 'Vitiligo'], ['seed', 'Wounds and injuries'], ['seed', 'Irritant'], ['seed', 'Schistosoma'], ['whole plant', 'Gonorrhea'], ['whole plant', 'Antineoplastic agents'], ['None', 'Cathartics'], ['seed', 'Ulcer'], ['None', 'Aphrodisiacs'], ['None', 'Antiparasitic agents'], ['None', 'Apnea'], ['None', 'Anti-infective agents, local'], ['None', 'Anticonvulsants'], ['None', 'Anthelmintics'], ['None', 'Hair loss'], ['None', 'Abortifacient agents'], ['None', 'Antineoplastic agents'], ['fruit', 'Antitoxins'], ['None', 'Antipruritics'], ['seed', 'Tuberculosis, lymph node'], ['seed', 'Thirst'], ['seed', 'Stomatitis'], ['None', 'Leprosy'], ['None', 'Mouth diseases'], ['None', 'Disinfectants'], ['None', 'Muscle strength'], ['None', 'Night blindness'], ['None', 'Pain'], ['None', 'Paralysis'], ['None', 'Sciatica'], ['None', 'Skin diseases'], ['None', 'Sprains and strains'], ['None', 'Thirst'], ['None', 'Ulcer'], ['None', 'Mucus in urine'], ['seed', 'Parasympatholytics'], ['None', 'Nervous system diseases'], ['None', 'Diarrhea'], ['seed', 'Anti-poisoning'], ['None', 'Contraceptives, oral'], ['None', 'Cough'], ['seed', 'Sciatica'], ['seed', 'Skin diseases'], ['None', 'Histamine antagonists'], ['fruit', 'Aphrodisiacs'], ['root', 'Epilepsy'], ['fruit', 'Dental caries'], ['root', 'Endophthalmitis'], ['seed', 'Prostatic neoplasms'], ['root', 'Dysentery'], ['root', 'Diuretics'], ['seed', 'Hair loss'], ['seed', 'Analgesics'], ['seed', 'Anthelmintics'], ['root', 'Dental caries'], ['seed', 'Insecticides'], ['seed', 'Hypotension'], ['seed', 'Hepatitis'], ['seed', 'Hemagglutination'], ['seed', 'Graves ophthalmopathy'], ['seed', 'Fractures, bone'], ['seed', 'Fever'], ['seed', 'Emetics'], ['fruit', 'Asthma'], ['seed', 'Dysentery'], ['seed', 'Diarrhea'], ['root', 'Eye infections'], ['root', 'Fever'], ['root', 'Gonorrhea'], ['root', 'Headache'], ['seed', 'Nervous system diseases'], ['seed', 'Acquired immunodeficiency syndrome'], ['seed', 'Acne vulgaris'], ['seed', 'Abortifacient agents'], ['root', 'Whooping cough'], ['root', 'Urination disorders'], ['root', 'Tuberculosis, lymph node'], ['root', 'Thirst'], ['root', 'Syphilis'], ['seed', 'Cough'], ['root', 'Stomatitis'], ['root', 'General tonic for rejuvenation'], ['root', 'Puerperal disorders'], ['root', 'Pharyngitis'], ['root', 'Pain'], ['root', 'Mouth diseases'], ['root', 'Leprosy'], ['root', 'Jaundice'], ['root', 'Inflammation'], ['root', 'Infection'], ['root', 'Snake bites'], ['seed', 'Contraceptive agents'], ['seed', 'Eczema'], ['seed', 'Paralysis'], ['leaf', 'Colic'], ['seed', 'Common cold'], ['leaf', 'Biliary tract diseases'], ['leaf', 'Astringents'], ['leaf', 'Asthma'], ['leaf', 'Antirheumatic agents'], ['leaf', 'Acquired immunodeficiency syndrome'], ['fruit', 'Disorder of head'], ['fruit', 'Wounds and injuries'], ['fruit', 'Vomiting'], ['leaf', 'Diuretics'], ['fruit', 'Vitiligo'], ['fruit', 'Thirst'], ['fruit', 'Taste disorders'], ['fruit', 'Stomatitis'], ['fruit', 'Skin diseases'], ['fruit', 'General tonic for rejuvenation'], ['fruit', 'Pruritus'], ['fruit', 'Nootropic agents'], ['fruit', 'Fever'], ['fruit', 'Eye diseases'], ['leaf', 'Common cold'], ['leaf', 'Cough'], ['leaf', 'Chest pain'], ['seed', 'Asthma'], ['seed', 'Cholinergic antagonists'], ['seed', 'Central nervous system depressants'], ['seed', 'Cathartics'], ['seed', 'Cardiotonic agents'], ['seed', 'Breast neoplasms'], ['seed', 'Astringents'], ['leaf', 'Dental caries'], ['seed', 'Arthralgia'], ['seed', 'Aphrodisiacs'], ['seed', 'Apnea'], ['seed', 'Antineoplastic agents'], ['seed', 'Anti-inflammatory agents'], ['seed', 'Anti-infective agents'], ['seed', 'Antifungal agents'], ['seed', 'Cholera'], ['seed', 'Anti-bacterial agents'], ['root', 'Contraceptive agents'], ['root', 'Common cold'], ['leaf', 'Diabetes mellitus'], ['seed', 'Antispermatogenic agents']]"
25,Abutilon hirtum,Abutilon hirtum,"[['bark', 'Infection'], ['fruit', 'Anti-bacterial agents'], ['flower', 'Anti-bacterial agents'], ['bark', 'Diuretics'], ['leaf', 'Demulcents'], ['leaf', 'Low back pain'], ['bark', 'Antipyretics'], ['bark', 'Anthelmintics'], ['bark', 'Astringents'], ['leaf', 'Hemorrhoids'], ['seed', 'Laxatives'], ['leaf', 'Toothache'], ['root', 'Menstruation'], ['seed', 'Demulcents'], ['seed', 'Gonorrhea'], ['seed', 'Hemorrhoids'], ['seed', 'Bronchitis'], ['None', 'Nervous system diseases'], ['root', 'Fever']]"
26,Abutilon indicum,Abutilon indicum,"[['bark', 'Low back pain'], ['bark', 'Infection'], ['bark', 'Fever'], ['bark', 'Enema'], ['bark', 'Diuretics'], ['bark', 'Demulcents'], ['bark', 'Antipyretics'], ['bark', 'Astringents'], ['bark', 'Renal colic'], ['bark', 'Anti-inflammatory agents'], ['bark', 'Anthelmintics'], ['flower', 'Analgesics'], ['leaf', 'Demulcents'], ['bark', 'Candidiasis, vulvovaginal'], ['bark', 'Ulcer'], ['leaf', 'Cystitis'], ['flower', 'Antipyretics'], ['leaf', 'Antirheumatic agents'], ['leaf', 'Abdominal pain'], ['fruit', 'Stomach diseases'], ['fruit', 'Analgesics'], ['flower', 'Ulcer'], ['flower', 'Hematemesis'], ['bark', 'Urinary bladder diseases'], ['flower', 'Gonorrhea'], ['flower', 'Fertility agents'], ['flower', 'Erectile dysfunction'], ['flower', 'Cough'], ['flower', 'Bronchitis'], ['flower', 'Arthritis'], ['leaf', 'Diuretics'], ['flower', 'Furunculosis'], ['leaf', 'Emollients'], ['root', 'Leprosy'], ['root', 'Pain'], ['flower', 'Hemorrhoids'], ['leaf', 'Diarrhea'], ['leaf', 'Jaundice'], ['leaf', 'Urinary bladder calculi'], ['leaf', 'Ulcer'], ['leaf', 'Toothache'], ['leaf', 'General tonic for rejuvenation'], ['leaf', 'Periodontal diseases'], ['leaf', 'Pain'], ['leaf', 'Inflammation'], ['root', 'General tonic for rejuvenation'], ['leaf', 'Hemorrhoids'], ['leaf', 'Headache'], ['leaf', 'Gonorrhea'], ['leaf', 'Furunculosis'], ['leaf', 'Fever'], ['leaf', 'Eye drops'], ['root', 'Nervous system diseases'], ['leaf', 'Bronchitis'], ['root', 'Hemorrhoids'], ['root', 'Hemorrhage'], ['root', 'Hematuria'], ['root', 'Gout'], ['root', 'Paralysis'], ['root', 'Fever'], ['root', 'Diuretics'], ['root', 'Demulcents'], ['root', 'Cough'], ['root', 'Antirheumatic agents'], ['root', 'Antipyretics'], ['leaf', 'Wounds and injuries'], ['root', 'Eye diseases'], ['root', 'Polyuria'], ['root', 'Anti-bacterial agents'], ['root', 'Urinary bladder calculi'], ['whole plant', 'Diuretics'], ['None', 'Anthelmintics'], ['root', 'Urination disorders'], ['seed', 'Aphrodisiacs'], ['seed', 'Cystitis'], ['seed', 'Demulcents'], ['seed', 'Expectorants'], ['seed', 'Gonorrhea'], ['seed', 'Hemorrhoids'], ['seed', 'Laxatives'], ['whole plant', 'Anti-inflammatory agents'], ['whole plant', 'Aphrodisiacs'], ['whole plant', 'Cough'], ['whole plant', 'Cystitis'], ['root', 'Vitiligo'], ['whole plant', 'Astringents'], ['whole plant', 'Leprosy'], ['None', 'Analgesics'], ['None', 'Immunostimulant'], ['whole plant', 'Urinary bladder diseases'], ['whole plant', 'Gonorrhea'], ['whole plant', 'General tonic for rejuvenation'], ['whole plant', 'Paralysis'], ['whole plant', 'Ulcer'], ['whole plant', 'Laxatives'], ['whole plant', 'Insect repellents'], ['whole plant', 'Hypnotics and sedatives'], ['whole plant', 'Hemorrhoids'], ['whole plant', 'Headache'], ['leaf', 'Hydrocele'], ['whole plant', 'Expectorants'], ['None', 'Hemorrhoids'], ['seed', 'Antifungal agents'], ['None', 'Wounds and injuries'], ['None', 'Antineoplastic agents'], ['None', 'Antirheumatic agents'], ['None', 'Astringents'], ['None', 'Anticonvulsants'], ['None', 'Candidiasis, vulvovaginal'], ['None', 'Anti-bacterial agents'], ['None', 'Anti-inflammatory agents'], ['None', 'Central nervous system diseases'], ['None', 'Cystitis'], ['None', 'Demulcents'], ['None', 'Diuretics'], ['None', 'Dysentery'], ['None', 'Disorder of ejaculation'], ['None', 'Chest pain'], ['None', 'Colic'], ['None', 'Enema'], ['None', 'Bronchitis'], ['None', 'Fever'], ['None', 'Vaginal discharge'], ['None', 'Epistaxis'], ['None', 'Ulcer'], ['None', 'Toothache'], ['None', 'Postnatal care'], ['None', 'Periodontal diseases'], ['None', 'Urethritis'], ['None', 'Muscle cramp'], ['None', 'Menorrhagia'], ['None', 'Fractures, bone'], ['None', 'Low back pain'], ['root', 'Urinary bladder diseases'], ['None', 'Heart diseases'], ['None', 'Nervous system diseases']]"
32,Abutilon pannosum,Abutilon pannosum,"[['leaf', 'Hemorrhoids']]"
34,Abutilon ramosum,Abutilon ramosum,"[['None', 'Parasympatholytics'], ['None', 'Central nervous system depressants']]"
